token	arch	round	condition	bench	runtime	sample_index	inner_repeat	exec_ns	wall_exec_ns	exec_cycles	compile_ns	native_code_bytes	bpf_bytecode_bytes	result_ok	passes	perf_error
pfd-v3-x86-r1-control	x86	1	control	prefetch_single_first_deref	kernel	0	10000	41	5986	14964	3788723	510	920	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-control	x86	1	control	prefetch_single_first_deref	kernel	1	10000	41	8983	22457	3814548	510	920	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-control	x86	1	control	prefetch_single_first_deref	kernel	2	10000	42	7988	19970	6519295	510	920	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-control	x86	1	control	prefetch_single_first_deref	kernel	3	10000	40	5985	14963	3769670	510	920	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-control	x86	1	control	prefetch_single_first_deref	kernel	4	10000	44	5983	14957	3625060	510	920	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-control	x86	1	control	prefetch_packet_first_deref	kernel	0	10000	3123	7988	19969	10157473	592	1080	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-control	x86	1	control	prefetch_packet_first_deref	kernel	1	10000	1961	5982	14954	10397983	592	1080	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-control	x86	1	control	prefetch_packet_first_deref	kernel	2	10000	2931	9988	24969	10177324	592	1080	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-control	x86	1	control	prefetch_packet_first_deref	kernel	3	10000	2254	8981	22453	10571908	592	1080	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
pfd-v3-x86-r1-control	x86	1	control	prefetch_packet_first_deref	kernel	4	10000	2049	6985	17462	10569899	592	1080	True	noop	perf_event_open(cycles): No such file or directory; perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
