token	arch	round	condition	source_dir	copied_dir
pfd-v3-x86-r1-control	x86	1	control	/home/ruoji/github/bpf-opt/code/micro/results/aws_x86_micro_20260602_011921_223564	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r1-control
pfd-v3-arm64-r1-control	arm64	1	control	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260602_020016_736137	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-arm64-r1-control
pfd-v3-x86-r1-treatment	x86	1	treatment	/home/ruoji/github/bpf-opt/code/micro/results/aws_x86_micro_20260602_012607_264963	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r1-treatment
pfd-v3-arm64-r1-treatment	arm64	1	treatment	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260602_020712_563137	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-arm64-r1-treatment
pfd-v3-x86-r2-control	x86	2	control	/home/ruoji/github/bpf-opt/code/micro/results/aws_x86_micro_20260602_013232_338561	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r2-control
pfd-v3-arm64-r2-control	arm64	2	control	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260602_021614_157619	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-arm64-r2-control
pfd-v3-x86-r2-treatment	x86	2	treatment	/home/ruoji/github/bpf-opt/code/micro/results/aws_x86_micro_20260602_013933_165066	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r2-treatment
pfd-v3-arm64-r2-treatment	arm64	2	treatment	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260602_022523_081141	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-arm64-r2-treatment
pfd-v3-x86-r3-control	x86	3	control	/home/ruoji/github/bpf-opt/code/micro/results/aws_x86_micro_20260602_014621_446868	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r3-control
pfd-v3-arm64-r3-control	arm64	3	control	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260602_023334_602141	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-arm64-r3-control
pfd-v3-x86-r3-treatment	x86	3	treatment	/home/ruoji/github/bpf-opt/code/micro/results/aws_x86_micro_20260602_015315_073144	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-x86-r3-treatment
pfd-v3-arm64-r3-treatment	arm64	3	treatment	/home/ruoji/github/bpf-opt/code/micro/results/aws_arm64_micro_20260602_024142_504007	/home/ruoji/github/bpf-opt/experiments/2026-06-01-prefetch-packet-first-deref-v3-attribution/data/aws-results/pfd-v3-arm64-r3-treatment
