rep	condition	pass	result_dir	sample_index	sites_matched	sites_applied	insn_delta	prefetcht0_count	native_insn_count_objdump	jited_prog_len	xlated_prog_len	report_file	jited_file
1	control	noop	aws_x86_micro_20260601_231529_057545	0	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_231529_057545/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample00/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_231529_057545/details/jit_dumps/prefetch_map_page_stride__kernel__sample00.jited.bin
1	control	noop	aws_x86_micro_20260601_231529_057545	1	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_231529_057545/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample01/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_231529_057545/details/jit_dumps/prefetch_map_page_stride__kernel__sample01.jited.bin
1	control	noop	aws_x86_micro_20260601_231529_057545	2	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_231529_057545/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample02/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_231529_057545/details/jit_dumps/prefetch_map_page_stride__kernel__sample02.jited.bin
1	control	noop	aws_x86_micro_20260601_231529_057545	3	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_231529_057545/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample03/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_231529_057545/details/jit_dumps/prefetch_map_page_stride__kernel__sample03.jited.bin
1	control	noop	aws_x86_micro_20260601_231529_057545	4	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_231529_057545/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample04/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_231529_057545/details/jit_dumps/prefetch_map_page_stride__kernel__sample04.jited.bin
1	treatment	prefetch	aws_x86_micro_20260601_232136_911736	0	1	1	2	1	134	498	936	data/aws-results/aws_x86_micro_20260601_232136_911736/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample00/step1-prefetch.report.json	data/aws-results/aws_x86_micro_20260601_232136_911736/details/jit_dumps/prefetch_map_page_stride__kernel__sample00.jited.bin
1	treatment	prefetch	aws_x86_micro_20260601_232136_911736	1	1	1	2	1	134	498	936	data/aws-results/aws_x86_micro_20260601_232136_911736/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample01/step1-prefetch.report.json	data/aws-results/aws_x86_micro_20260601_232136_911736/details/jit_dumps/prefetch_map_page_stride__kernel__sample01.jited.bin
1	treatment	prefetch	aws_x86_micro_20260601_232136_911736	2	1	1	2	1	134	498	936	data/aws-results/aws_x86_micro_20260601_232136_911736/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample02/step1-prefetch.report.json	data/aws-results/aws_x86_micro_20260601_232136_911736/details/jit_dumps/prefetch_map_page_stride__kernel__sample02.jited.bin
1	treatment	prefetch	aws_x86_micro_20260601_232136_911736	3	1	1	2	1	134	498	936	data/aws-results/aws_x86_micro_20260601_232136_911736/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample03/step1-prefetch.report.json	data/aws-results/aws_x86_micro_20260601_232136_911736/details/jit_dumps/prefetch_map_page_stride__kernel__sample03.jited.bin
1	treatment	prefetch	aws_x86_micro_20260601_232136_911736	4	1	1	2	1	134	498	936	data/aws-results/aws_x86_micro_20260601_232136_911736/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample04/step1-prefetch.report.json	data/aws-results/aws_x86_micro_20260601_232136_911736/details/jit_dumps/prefetch_map_page_stride__kernel__sample04.jited.bin
2	control	noop	aws_x86_micro_20260601_232921_956048	0	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_232921_956048/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample00/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_232921_956048/details/jit_dumps/prefetch_map_page_stride__kernel__sample00.jited.bin
2	control	noop	aws_x86_micro_20260601_232921_956048	1	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_232921_956048/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample01/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_232921_956048/details/jit_dumps/prefetch_map_page_stride__kernel__sample01.jited.bin
2	control	noop	aws_x86_micro_20260601_232921_956048	2	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_232921_956048/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample02/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_232921_956048/details/jit_dumps/prefetch_map_page_stride__kernel__sample02.jited.bin
2	control	noop	aws_x86_micro_20260601_232921_956048	3	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_232921_956048/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample03/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_232921_956048/details/jit_dumps/prefetch_map_page_stride__kernel__sample03.jited.bin
2	control	noop	aws_x86_micro_20260601_232921_956048	4	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_232921_956048/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample04/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_232921_956048/details/jit_dumps/prefetch_map_page_stride__kernel__sample04.jited.bin
2	treatment	prefetch	aws_x86_micro_20260601_233617_042359	0	1	1	2	1	134	498	936	data/aws-results/aws_x86_micro_20260601_233617_042359/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample00/step1-prefetch.report.json	data/aws-results/aws_x86_micro_20260601_233617_042359/details/jit_dumps/prefetch_map_page_stride__kernel__sample00.jited.bin
2	treatment	prefetch	aws_x86_micro_20260601_233617_042359	1	1	1	2	1	134	498	936	data/aws-results/aws_x86_micro_20260601_233617_042359/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample01/step1-prefetch.report.json	data/aws-results/aws_x86_micro_20260601_233617_042359/details/jit_dumps/prefetch_map_page_stride__kernel__sample01.jited.bin
2	treatment	prefetch	aws_x86_micro_20260601_233617_042359	2	1	1	2	1	134	498	936	data/aws-results/aws_x86_micro_20260601_233617_042359/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample02/step1-prefetch.report.json	data/aws-results/aws_x86_micro_20260601_233617_042359/details/jit_dumps/prefetch_map_page_stride__kernel__sample02.jited.bin
2	treatment	prefetch	aws_x86_micro_20260601_233617_042359	3	1	1	2	1	134	498	936	data/aws-results/aws_x86_micro_20260601_233617_042359/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample03/step1-prefetch.report.json	data/aws-results/aws_x86_micro_20260601_233617_042359/details/jit_dumps/prefetch_map_page_stride__kernel__sample03.jited.bin
2	treatment	prefetch	aws_x86_micro_20260601_233617_042359	4	1	1	2	1	134	498	936	data/aws-results/aws_x86_micro_20260601_233617_042359/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample04/step1-prefetch.report.json	data/aws-results/aws_x86_micro_20260601_233617_042359/details/jit_dumps/prefetch_map_page_stride__kernel__sample04.jited.bin
3	control	noop	aws_x86_micro_20260601_234227_898339	0	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_234227_898339/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample00/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_234227_898339/details/jit_dumps/prefetch_map_page_stride__kernel__sample00.jited.bin
3	control	noop	aws_x86_micro_20260601_234227_898339	1	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_234227_898339/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample01/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_234227_898339/details/jit_dumps/prefetch_map_page_stride__kernel__sample01.jited.bin
3	control	noop	aws_x86_micro_20260601_234227_898339	2	0	0	0	0	133	494	920	data/aws-results/aws_x86_micro_20260601_234227_898339/details/bpfopt_runs/prefetch_map_page_stride__kernel__sample02/step1-noop.report.json	data/aws-results/aws_x86_micro_20260601_234227_898339/details/jit_dumps/prefetch_map_page_stride__kernel__sample02.jited.bin
