rep	condition	pass	result_dir	token	instance	remote_log	runtime	inner_repeat	sample_index	exec_ns	wall_exec_ns	exec_cycles	jited_prog_len	xlated_prog_len	retval	result	timing_source	timing_source_wall
1	control	noop	aws_x86_micro_20260601_231529_057545	x7s9v	i-0327e6690949d44a2	micro_x7s9v_20260601_231527.remote.log	kernel	10000	0	7827	12998	32496	494	920	2	5171437513957054730	ktime	rdtsc
1	control	noop	aws_x86_micro_20260601_231529_057545	x7s9v	i-0327e6690949d44a2	micro_x7s9v_20260601_231527.remote.log	kernel	10000	1	7819	12998	32496	494	920	2	5171437513957054730	ktime	rdtsc
1	control	noop	aws_x86_micro_20260601_231529_057545	x7s9v	i-0327e6690949d44a2	micro_x7s9v_20260601_231527.remote.log	kernel	10000	2	10267	15000	37499	494	920	2	5171437513957054730	ktime	rdtsc
1	control	noop	aws_x86_micro_20260601_231529_057545	x7s9v	i-0327e6690949d44a2	micro_x7s9v_20260601_231527.remote.log	kernel	10000	3	7827	11000	27500	494	920	2	5171437513957054730	ktime	rdtsc
1	control	noop	aws_x86_micro_20260601_231529_057545	x7s9v	i-0327e6690949d44a2	micro_x7s9v_20260601_231527.remote.log	kernel	10000	4	7881	12998	32496	494	920	2	5171437513957054730	ktime	rdtsc
1	treatment	prefetch	aws_x86_micro_20260601_232136_911736	v	i-0796b7e96f711daf9	micro_v_20260601_232135.remote.log	kernel	10000	0	8406	11104	27760	498	936	2	5171437513957054730	ktime	rdtsc
1	treatment	prefetch	aws_x86_micro_20260601_232136_911736	v	i-0796b7e96f711daf9	micro_v_20260601_232135.remote.log	kernel	10000	1	8523	11170	27925	498	936	2	5171437513957054730	ktime	rdtsc
1	treatment	prefetch	aws_x86_micro_20260601_232136_911736	v	i-0796b7e96f711daf9	micro_v_20260601_232135.remote.log	kernel	10000	2	8335	11069	27672	498	936	2	5171437513957054730	ktime	rdtsc
1	treatment	prefetch	aws_x86_micro_20260601_232136_911736	v	i-0796b7e96f711daf9	micro_v_20260601_232135.remote.log	kernel	10000	3	8448	11146	27865	498	936	2	5171437513957054730	ktime	rdtsc
1	treatment	prefetch	aws_x86_micro_20260601_232136_911736	v	i-0796b7e96f711daf9	micro_v_20260601_232135.remote.log	kernel	10000	4	8530	11074	27686	498	936	2	5171437513957054730	ktime	rdtsc
