benchmark	tags	control_samples	treatment_samples	control_mismatches	treatment_mismatches	control_exec_ns_median	treatment_exec_ns_median	treatment_over_control	speedup_pct	control_exec_ns_cv	treatment_exec_ns_cv	control_wall_exec_ns_median	treatment_wall_exec_ns_median	control_native_bytes_median	treatment_native_bytes_median	native_bytes_delta	control_xlated_bytes_median	treatment_xlated_bytes_median	xlated_bytes_delta
prefetch_distance_0	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit	7	7	0	0	309	309	1	0	0.105363	0.107217	5990	5579	451	451	0	760	760	0
prefetch_distance_2	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit	7	7	0	0	529	590	1.11531	-11.5312	0.0541888	0.0470914	5985	5574	569	569	0	1016	1016	0
prefetch_distance_4	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit	7	7	0	0	733	790	1.07776	-7.77626	0.0818081	0.213482	6986	5985	571	571	0	1016	1016	0
prefetch_distance_8	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit	7	7	0	0	1484	1157	0.77965	22.035	0.0886885	0.130132	6986	5988	571	571	0	1016	1016	0
prefetch_distance_16	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit	7	7	0	0	2054	2037	0.991723	0.827653	0.112656	0.140719	6985	6986	571	571	0	1016	1016	0
prefetch_distance_32	memory,prefetch,distance-sweep,new-2026-05-31,pure-jit	7	7	0	0	4925	3938	0.799594	20.0406	0.153329	0.118602	9986	9985	568	568	0	1008	1008	0
prefetch_indirect_lookup	memory,prefetch,indirect-lookup,new-2026-05-31,pure-jit	7	7	0	0	1143	1180	1.03237	-3.2371	0.160056	0.132768	7985	6986	575	575	0	1048	1048	0
prefetch_indirect_two_stage	memory,prefetch,indirect-lookup,two-stage,new-2026-06-01,pure-jit	7	7	0	0	1594	2115	1.32685	-32.6851	0.13518	0.150076	6992	8989	644	644	0	1192	1192	0
prefetch_cacheline_dedup_scan	memory,prefetch,cacheline-dedup,new-2026-06-01,pure-jit	7	7	0	0	1506	1504	0.998672	0.132802	0.00591748	0.128079	6984	6984	993	993	0	1736	1736	0
prefetch_packet_offset_guarded	memory,prefetch,guarded-offset,new-2026-06-01,pure-jit	7	7	0	0	2483	2904	1.16955	-16.9553	0.0714413	0.648175	8984	8968	600	600	0	1104	1104	0
prefetch_full_packet_ring_scan	memory,prefetch,packet-working-set,new-2026-06-01,pure-jit	7	7	0	0	2773	3135	1.13054	-13.0545	0.151804	0.147404	7985	7984	588	588	0	1056	1056	0
prefetch_map_page_stride	memory,prefetch,map-working-set,page-stride,new-2026-06-01,kernel-only	7	7	0	0	7949	7936	0.998365	0.163543	0.131169	0.0931759	12987	13990	494	494	0	920	920	0
prefetch_map_indirect_page	memory,prefetch,map-working-set,indirect-page,new-2026-06-01,kernel-only	7	7	0	0	8074	9469	1.17278	-17.2777	0.0213911	0.0815351	13983	13983	564	564	0	1064	1064	0
prefetch_map_line_dedup	memory,prefetch,map-working-set,cacheline-dedup,new-2026-06-01,kernel-only	7	7	0	0	12865	9378	0.728955	27.1045	0.145066	0.073406	17968	15981	805	805	0	1584	1584	0
prefetch_hot_l1_load	memory,prefetch,candidate-filtering,hot-l1,new-2026-05-31,pure-jit	7	7	0	0	170	142	0.835294	16.4706	0.230062	0.0950979	6985	6978	432	432	0	728	728	0
prefetch_sequential_scan	memory,prefetch,candidate-filtering,sequential,new-2026-05-31,pure-jit	7	7	0	0	269	245	0.910781	8.92193	0.0811064	0.0223374	5986	5986	418	418	0	744	744	0
prefetch_large_stride_scan	memory,prefetch,candidate-filtering,large-stride,new-2026-05-31,pure-jit	7	7	0	0	1831	1834	1.00164	-0.163845	0.139987	0.133301	6790	6991	564	564	0	1008	1008	0
prefetch_permuted_index_scan	memory,prefetch,candidate-filtering,permuted-index,new-2026-05-31,pure-jit	7	7	0	0	420	370	0.880952	11.9048	0.0864014	0.0829969	6983	6986	526	526	0	952	952	0
prefetch_packet_first_deref	memory,prefetch,candidate-filtering,packet-first-deref,new-2026-05-31,pure-jit	7	7	0	0	2517	2947	1.17084	-17.0838	0.166285	0.183923	6993	7975	592	592	0	1080	1080	0
