label	arch	variant	kind	sample_index	exec_ns	exec_cycles	wall_exec_ns	bpf_bytes	native_bytes	result
x86_control_smoke	x86	control	smoke	0	10029	942560	377024	2048	1004	10526166669351037997
x86_treatment_smoke	x86	treatment	smoke	0	9200	1000363	400145	2064	1007	10526166669351037997
x86_control_multi	x86	control	multi	0	8706	99984	39994	2048	1004	10526166669351037997
x86_control_multi	x86	control	multi	1	8764	99944	39977	2048	1004	10526166669351037997
x86_control_multi	x86	control	multi	2	8946	149980	59992	2048	1004	10526166669351037997
x86_control_multi	x86	control	multi	3	8775	99970	39988	2048	1004	10526166669351037997
x86_control_multi	x86	control	multi	4	8855	99692	39877	2048	1004	10526166669351037997
x86_treatment_multi	x86	treatment	multi	0	8696	99970	39988	2064	1007	10526166669351037997
x86_treatment_multi	x86	treatment	multi	1	9045	99928	39971	2064	1007	10526166669351037997
x86_treatment_multi	x86	treatment	multi	2	8700	149997	59999	2064	1007	10526166669351037997
x86_treatment_multi	x86	treatment	multi	3	8830	99948	39979	2064	1007	10526166669351037997
x86_treatment_multi	x86	treatment	multi	4	8691	99943	39977	2064	1007	10526166669351037997
arm64_control_multi	arm64	control	multi	0	16796		None	2048	1256	10526166669351037997
arm64_control_multi	arm64	control	multi	1	16518		None	2048	1256	10526166669351037997
arm64_control_multi	arm64	control	multi	2	16410		None	2048	1256	10526166669351037997
arm64_control_multi	arm64	control	multi	3	16775		None	2048	1256	10526166669351037997
arm64_control_multi	arm64	control	multi	4	16517		None	2048	1256	10526166669351037997
arm64_treatment_multi	arm64	treatment	multi	0	16621		None	2064	1264	10526166669351037997
arm64_treatment_multi	arm64	treatment	multi	1	16836		None	2064	1264	10526166669351037997
arm64_treatment_multi	arm64	treatment	multi	2	16694		None	2064	1264	10526166669351037997
arm64_treatment_multi	arm64	treatment	multi	3	16824		None	2064	1264	10526166669351037997
arm64_treatment_multi	arm64	treatment	multi	4	16652		None	2064	1264	10526166669351037997
