arch	variant	result_dir	instance_id	instance_type	region	remote_user	kernel	container	started_at	completed_at	runner_wall_s	state_after_run	compute_usd_runner_window	ebs_usd_runner_window	total_usd_runner_window
arm64	control	aws_arm64_micro_20260603_000024_733232	i-01af36978832248d6	t4g.small	us-east-1	ec2-user	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	2026-06-03T00:00:24.733232+00:00	2026-06-03T00:00:36.031766+00:00	11.298534	shutting-down/terminated via wrapper	0.000053	0.000011	0.000064
arm64	l1keep	aws_arm64_micro_20260603_000849_265322	i-0f52147d44fa3c562	t4g.small	us-east-1	ec2-user	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	2026-06-03T00:08:49.265322+00:00	2026-06-03T00:08:59.922330+00:00	10.657008	shutting-down/terminated via wrapper	0.000050	0.000011	0.000060
arm64	l1strm	aws_arm64_micro_20260603_001622_048610	i-0a9107b67af809948	t4g.small	us-east-1	ec2-user	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	2026-06-03T00:16:22.048610+00:00	2026-06-03T00:16:33.275891+00:00	11.227281	shutting-down/terminated via wrapper	0.000052	0.000011	0.000063
arm64	l2keep	aws_arm64_micro_20260603_002356_463384	i-09c003b7d31b96d3a	t4g.small	us-east-1	ec2-user	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	2026-06-03T00:23:56.463384+00:00	2026-06-03T00:24:07.625713+00:00	11.162329	shutting-down/terminated via wrapper	0.000052	0.000011	0.000063
arm64	l2strm	aws_arm64_micro_20260603_003146_747479	i-010d3f103194df746	t4g.small	us-east-1	ec2-user	7.0.0-rc2+	bpf-benchmark/runner-runtime:arm64	2026-06-03T00:31:46.747479+00:00	2026-06-03T00:31:57.963771+00:00	11.216292	shutting-down/terminated via wrapper	0.000052	0.000011	0.000063
x86	control	aws_x86_micro_20260603_004208_489943	i-01a99d0c5f0553821	t3.small	us-east-1	ec2-user	7.0.0-rc2+	bpf-benchmark/runner-runtime:x86_64	2026-06-03T00:42:08.489943+00:00	2026-06-03T00:42:22.241412+00:00	13.751469	shutting-down/terminated via wrapper	0.000079	0.000014	0.000093
x86	t0	aws_x86_micro_20260603_005048_125780	i-0df0babdbbf66e68b	t3.small	us-east-1	ec2-user	7.0.0-rc2+	bpf-benchmark/runner-runtime:x86_64	2026-06-03T00:50:48.125780+00:00	2026-06-03T00:51:03.128066+00:00	15.002286	shutting-down/terminated via wrapper	0.000087	0.000015	0.000101
x86	t1	aws_x86_micro_20260603_005810_555037	i-071aba17e7775ab79	t3.small	us-east-1	ec2-user	7.0.0-rc2+	bpf-benchmark/runner-runtime:x86_64	2026-06-03T00:58:10.555037+00:00	2026-06-03T00:58:25.403505+00:00	14.848468	shutting-down/terminated via wrapper	0.000086	0.000015	0.000100
x86	t2	aws_x86_micro_20260603_010552_992793	i-09f2ec9645114bedd	t3.small	us-east-1	ec2-user	7.0.0-rc2+	bpf-benchmark/runner-runtime:x86_64	2026-06-03T01:05:52.992793+00:00	2026-06-03T01:06:09.369660+00:00	16.376867	shutting-down/terminated via wrapper	0.000095	0.000016	0.000111
x86	nta	aws_x86_micro_20260603_011322_532995	i-0d53dc08e35a3a242	t3.small	us-east-1	ec2-user	7.0.0-rc2+	bpf-benchmark/runner-runtime:x86_64	2026-06-03T01:13:22.532995+00:00	2026-06-03T01:13:38.913072+00:00	16.380077	shutting-down/terminated via wrapper	0.000095	0.000016	0.000111
