arch	variant	case	metric	available	error
arm64	control	prefetch_pipeline_horizon1_page_stride	cache_misses_available	no	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	control	prefetch_pipeline_horizon2_page_stride	cache_misses_available	no	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	control	prefetch_pipeline_horizon4_page_stride	cache_misses_available	no	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	control	prefetch_pipeline_degree_page_stride	cache_misses_available	no	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	l1keep	prefetch_pipeline_horizon1_page_stride	cache_misses_available	no	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	l1keep	prefetch_pipeline_horizon2_page_stride	cache_misses_available	no	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	l1keep	prefetch_pipeline_horizon4_page_stride	cache_misses_available	no	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	l1keep	prefetch_pipeline_degree_page_stride	cache_misses_available	no	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	l1strm	prefetch_pipeline_horizon1_page_stride	cache_misses_available	no	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	l1strm	prefetch_pipeline_horizon2_page_stride	cache_misses_available	no	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
