prog_id	prog_name	program_status	pass_status	bpfopt_ms	rejit_syscall_ms	orig_insns	sites_matched	sites_applied	sites_skipped	diagnostics_len	skipped_sites_len	error
100	trace_ret_ptrac	ok	ok	294	213	2482	129	0	129	0	129	
101	trace_process_v	ok	ok	28	187	506	2	0	2	0	2	
102	trace_ret_proce	ok	ok	375	246	2482	129	0	129	0	129	
103	trace_arch_prct	ok	ok	38	2	506	2	0	2	0	2	
104	trace_ret_arch_	ok	ok	298	57	2482	129	0	129	0	129	
105	trace_dup	ok	ok	35	183	506	2	0	2	0	2	
106	trace_ret_dup	ok	ok	273	239	2482	129	0	129	0	129	
107	trace_dup2	ok	ok	18	162	506	2	0	2	0	2	
108	trace_ret_dup2	ok	ok	335	239	2482	129	0	129	0	129	
109	trace_dup3	ok	ok	24	188	506	2	0	2	0	2	
110	trace_ret_dup3	ok	ok	225	201	2482	129	0	129	0	129	
111	syscall__execve	ok	ok	821	22	4165	325	0	325	0	325	
112	syscall__execve	ok	ok	1136	26	4191	327	0	327	0	327	
113	syscall__execve	ok	ok	879	23	4219	329	0	329	0	329	
114	syscall__execve	ok	ok	1036	37	4245	331	0	331	0	331	
115	sys_dup_exit_ta	ok	ok	219	16	2353	110	0	110	0	110	
116	tracepoint__sch	ok	ok	499	44	4263	185	0	185	0	185	
117	sched_process_f	ok	ok	102	6	1036	43	0	43	0	43	
118	lkm_seeker_modt	ok	ok	1495	921	13815	290	0	290	0	290	
119	heartbeat_captu	ok	ok	9	191	27	0	0	0	0	0	
120	uprobe_lkm_seek	ok	ok	95	224	1413	37	0	37	0	37	
121	uprobe_lkm_seek	ok	ok	76	206	1050	27	0	27	0	27	
122	lkm_seeker_kset	ok	ok	1409	2138	14602	259	0	259	0	259	
123	lkm_seeker_mod_	ok	ok	23	0	218	4	0	4	0	4	
124	lkm_seeker_proc	ok	ok	1847	1520	13343	271	0	271	0	271	
125	lkm_seeker_new_	ok	ok	54	74	888	17	0	17	0	17	
126	tracepoint__sch	ok	ok	519	106	4296	142	0	142	0	142	
127	sched_process_e	ok	ok	446	54	5041	63	0	63	0	63	
128	sched_process_e	ok	ok	327	49	4672	35	0	35	0	35	
129	tracepoint__sch	ok	ok	174	49	1828	101	0	101	0	101	
130	sched_process_e	ok	ok	30	1	268	13	0	13	0	13	
131	tracepoint__sch	ok	ok	21	0	46	1	0	1	0	1	
132	syscall__accept	ok	ok	138	13	1713	97	0	97	0	97	
133	tracepoint__sch	ok	ok	174	15	1855	104	0	104	0	104	
134	trace_filldir64	ok	ok	145	180	1708	93	0	93	0	93	
135	trace_call_user	ok	ok	1072	250	4821	314	0	314	0	314	
136	trace_do_exit	ok	ok	142	222	1681	90	0	90	0	90	
