attempt	benchmark	kfunc_symbols	arm64_rev_symbols	arm64_extr_symbols	arm64_symbols	x86_symbols	symbols
baseline	bcc_runqlat_log2_histogram_bucket	0	0	0	0	0	
baseline	bcc_tcpconnect_ipv4_tuple_filter	0	0	0	0	0	
baseline	bitmap_popcount_scan	0	0	0	0	0	
baseline	bpf_local_call_fanout_dispatch	0	0	0	0	0	
baseline	bpftrace_comm_key_fnv_hash	0	0	0	0	0	
baseline	bpftrace_string_search_prefix_scan	0	0	0	0	0	
baseline	cgroup_skb_hash_chain	0	0	0	0	0	
baseline	cilium_ct_nat_tuple_rewrite	0	0	0	0	0	
baseline	cilium_policy_guard_tree_filter	0	0	0	0	0	
baseline	cilium_socket_lb_service_select	0	0	0	0	0	
baseline	flow_5tuple_rss_hash	0	0	0	0	0	
baseline	flow_record_field_scan	0	0	0	0	0	
baseline	katran_lb_consistent_hash_select	0	0	0	0	0	
baseline	otel_stack_frame_unwind_scan	0	0	0	0	0	
baseline	packed_header_bitfield_decode	0	0	0	0	0	
baseline	packet_checksum_fold	0	0	0	0	0	
baseline	packet_record_bounds_window	0	0	0	0	0	
baseline	packet_toeplitz_rss_hash	0	0	0	0	0	
baseline	packet_vlan_tcpopt_parser	0	0	0	0	0	
baseline	payload_prefix_memcmp_scan	0	0	0	0	0	
baseline	simple	0	0	0	0	0	
baseline	simple_packet	0	0	0	0	0	
baseline	siphash_rotate64_mixer	0	0	0	0	0	
baseline	sorted_rule_binary_search	0	0	0	0	0	
baseline	tc_packet_checksum_fold	0	0	0	0	0	
baseline	tetragon_process_event_arg_filter	0	0	0	0	0	
baseline	trace_event_type_switch_dispatch	0	0	0	0	0	
baseline	tracee_http_method_prefix_detect	0	0	0	0	0	
baseline	tracee_syscall_name_table_lookup	0	0	0	0	0	
control-disabled	bcc_runqlat_log2_histogram_bucket	0	0	0	0	0	
control-disabled	bcc_tcpconnect_ipv4_tuple_filter	0	0	0	0	0	
control-disabled	bitmap_popcount_scan	0	0	0	0	0	
control-disabled	bpf_local_call_fanout_dispatch	0	0	0	0	0	
control-disabled	bpftrace_comm_key_fnv_hash	0	0	0	0	0	
control-disabled	bpftrace_string_search_prefix_scan	0	0	0	0	0	
control-disabled	cgroup_skb_hash_chain	0	0	0	0	0	
control-disabled	cilium_ct_nat_tuple_rewrite	0	0	0	0	0	
control-disabled	cilium_policy_guard_tree_filter	0	0	0	0	0	
control-disabled	cilium_socket_lb_service_select	0	0	0	0	0	
control-disabled	flow_5tuple_rss_hash	0	0	0	0	0	
control-disabled	flow_record_field_scan	0	0	0	0	0	
control-disabled	katran_lb_consistent_hash_select	0	0	0	0	0	
control-disabled	otel_stack_frame_unwind_scan	0	0	0	0	0	
control-disabled	packed_header_bitfield_decode	0	0	0	0	0	
control-disabled	packet_checksum_fold	0	0	0	0	0	
control-disabled	packet_record_bounds_window	0	0	0	0	0	
control-disabled	packet_toeplitz_rss_hash	0	0	0	0	0	
control-disabled	packet_vlan_tcpopt_parser	0	0	0	0	0	
control-disabled	payload_prefix_memcmp_scan	0	0	0	0	0	
control-disabled	simple	0	0	0	0	0	
control-disabled	simple_packet	0	0	0	0	0	
control-disabled	siphash_rotate64_mixer	0	0	0	0	0	
control-disabled	sorted_rule_binary_search	0	0	0	0	0	
control-disabled	tc_packet_checksum_fold	0	0	0	0	0	
control-disabled	tetragon_process_event_arg_filter	0	0	0	0	0	
control-disabled	trace_event_type_switch_dispatch	0	0	0	0	0	
control-disabled	tracee_http_method_prefix_detect	0	0	0	0	0	
control-disabled	tracee_syscall_name_table_lookup	0	0	0	0	0	
treatment-rev-only	bcc_runqlat_log2_histogram_bucket	0	0	0	0	0	
treatment-rev-only	bcc_tcpconnect_ipv4_tuple_filter	0	0	0	0	0	
treatment-rev-only	bitmap_popcount_scan	0	0	0	0	0	
treatment-rev-only	bpf_local_call_fanout_dispatch	0	0	0	0	0	
treatment-rev-only	bpftrace_comm_key_fnv_hash	0	0	0	0	0	
treatment-rev-only	bpftrace_string_search_prefix_scan	0	0	0	0	0	
treatment-rev-only	cgroup_skb_hash_chain	0	0	0	0	0	
treatment-rev-only	cilium_ct_nat_tuple_rewrite	0	0	0	0	0	
treatment-rev-only	cilium_policy_guard_tree_filter	0	0	0	0	0	
treatment-rev-only	cilium_socket_lb_service_select	0	0	0	0	0	
treatment-rev-only	flow_5tuple_rss_hash	0	0	0	0	0	
treatment-rev-only	flow_record_field_scan	0	0	0	0	0	
treatment-rev-only	katran_lb_consistent_hash_select	2	2	0	2	0	bpf_arm64_rev_w,bpf_arm64_rev16_w
treatment-rev-only	otel_stack_frame_unwind_scan	0	0	0	0	0	
treatment-rev-only	packed_header_bitfield_decode	0	0	0	0	0	
treatment-rev-only	packet_checksum_fold	0	0	0	0	0	
treatment-rev-only	packet_record_bounds_window	0	0	0	0	0	
treatment-rev-only	packet_toeplitz_rss_hash	0	0	0	0	0	
treatment-rev-only	packet_vlan_tcpopt_parser	0	0	0	0	0	
treatment-rev-only	payload_prefix_memcmp_scan	0	0	0	0	0	
treatment-rev-only	simple	0	0	0	0	0	
treatment-rev-only	simple_packet	0	0	0	0	0	
treatment-rev-only	siphash_rotate64_mixer	0	0	0	0	0	
treatment-rev-only	sorted_rule_binary_search	0	0	0	0	0	
treatment-rev-only	tc_packet_checksum_fold	0	0	0	0	0	
treatment-rev-only	tetragon_process_event_arg_filter	0	0	0	0	0	
treatment-rev-only	trace_event_type_switch_dispatch	0	0	0	0	0	
treatment-rev-only	tracee_http_method_prefix_detect	0	0	0	0	0	
treatment-rev-only	tracee_syscall_name_table_lookup	0	0	0	0	0	
treatment-extr-only	bcc_runqlat_log2_histogram_bucket	0	0	0	0	0	
treatment-extr-only	bcc_tcpconnect_ipv4_tuple_filter	1	0	1	1	0	bpf_arm64_extr_w
treatment-extr-only	bitmap_popcount_scan	0	0	0	0	0	
treatment-extr-only	bpf_local_call_fanout_dispatch	0	0	0	0	0	
treatment-extr-only	bpftrace_comm_key_fnv_hash	0	0	0	0	0	
treatment-extr-only	bpftrace_string_search_prefix_scan	1	0	1	1	0	bpf_arm64_extr_x
treatment-extr-only	cgroup_skb_hash_chain	0	0	0	0	0	
treatment-extr-only	cilium_ct_nat_tuple_rewrite	1	0	1	1	0	bpf_arm64_extr_w
treatment-extr-only	cilium_policy_guard_tree_filter	0	0	0	0	0	
treatment-extr-only	cilium_socket_lb_service_select	0	0	0	0	0	
treatment-extr-only	flow_5tuple_rss_hash	1	0	1	1	0	bpf_arm64_extr_w
treatment-extr-only	flow_record_field_scan	0	0	0	0	0	
treatment-extr-only	katran_lb_consistent_hash_select	1	0	1	1	0	bpf_arm64_extr_w
treatment-extr-only	otel_stack_frame_unwind_scan	0	0	0	0	0	
treatment-extr-only	packed_header_bitfield_decode	0	0	0	0	0	
treatment-extr-only	packet_checksum_fold	0	0	0	0	0	
treatment-extr-only	packet_record_bounds_window	0	0	0	0	0	
treatment-extr-only	packet_toeplitz_rss_hash	0	0	0	0	0	
treatment-extr-only	packet_vlan_tcpopt_parser	0	0	0	0	0	
treatment-extr-only	payload_prefix_memcmp_scan	1	0	1	1	0	bpf_arm64_extr_x
treatment-extr-only	simple	0	0	0	0	0	
treatment-extr-only	simple_packet	0	0	0	0	0	
treatment-extr-only	siphash_rotate64_mixer	1	0	1	1	0	bpf_arm64_extr_x
treatment-extr-only	sorted_rule_binary_search	0	0	0	0	0	
treatment-extr-only	tc_packet_checksum_fold	0	0	0	0	0	
treatment-extr-only	tetragon_process_event_arg_filter	0	0	0	0	0	
treatment-extr-only	trace_event_type_switch_dispatch	0	0	0	0	0	
treatment-extr-only	tracee_http_method_prefix_detect	0	0	0	0	0	
treatment-extr-only	tracee_syscall_name_table_lookup	0	0	0	0	0	
