attempt	object	symbol	count
treatment-ubfm-only	bcc_runqlat_log2_histogram_bucket.bpf.o	bpf_arm64_ubfm_x	1
treatment-ubfm-only	bcc_tcpconnect_ipv4_tuple_filter.bpf.o	bpf_arm64_ubfm_x	2
treatment-ubfm-only	bitmap_popcount_scan.bpf.o	bpf_arm64_ubfm_x	1
treatment-ubfm-only	bpftrace_comm_key_fnv_hash.bpf.o	bpf_arm64_ubfm_x	1
treatment-ubfm-only	cgroup_skb_hash_chain.bpf.o	bpf_arm64_ubfm_x	2
treatment-ubfm-only	cilium_socket_lb_service_select.bpf.o	bpf_arm64_ubfm_x	2
treatment-ubfm-only	flow_5tuple_rss_hash.bpf.o	bpf_arm64_ubfm_x	2
treatment-ubfm-only	flow_record_field_scan.bpf.o	bpf_arm64_ubfm_x	1
treatment-ubfm-only	katran_lb_consistent_hash_select.bpf.o	bpf_arm64_ubfm_x	11
treatment-ubfm-only	otel_stack_frame_unwind_scan.bpf.o	bpf_arm64_ubfm_x	1
treatment-ubfm-only	packed_header_bitfield_decode.bpf.o	bpf_arm64_ubfm_x	13
treatment-ubfm-only	packet_vlan_tcpopt_parser.bpf.o	bpf_arm64_ubfm_x	1
