benchmark	runtime	baseline_ns	control_ns	treatment_ns	control_over_baseline	treatment_over_control	treatment_over_baseline	scope	verdict_vs_control
bcc_runqlat_log2_histogram_bucket	kernel	3995	4065	4019	1.01752	0.988684	1.00601	selected-hw,selected-wide-load	neutral
bcc_runqlat_log2_histogram_bucket	native	2215	2227	2214	1.00542	0.994163	0.999549	selected-hw,selected-wide-load	neutral
bcc_tcpconnect_ipv4_tuple_filter	kernel	322	319	327	0.990683	1.02508	1.01553	selected-hw,selected-wide-load	slower
bcc_tcpconnect_ipv4_tuple_filter	native	150	149	158	0.993333	1.0604	1.05333	selected-hw,selected-wide-load	slower
bitmap_popcount_scan	kernel	2287	2288	2285	1.00044	0.998689	0.999125	selected-hw,selected-wide-load	neutral
bitmap_popcount_scan	native	1612	1612	1612	1	1	1	selected-hw,selected-wide-load	neutral
bpf_local_call_fanout_dispatch	kernel	329	325	302	0.987842	0.929231	0.917933	selected-hw,selected-wide-load	faster
bpf_local_call_fanout_dispatch	native	115	114	115	0.991304	1.00877	1	selected-hw,selected-wide-load	neutral
bpftrace_comm_key_fnv_hash	kernel	1656	1656	1653	1	0.998188	0.998188	selected-hw,selected-wide-load	neutral
bpftrace_comm_key_fnv_hash	native	1286	1287	1286	1.00078	0.999223	1	selected-hw,selected-wide-load	neutral
bpftrace_string_search_prefix_scan	kernel	514	512	533	0.996109	1.04102	1.03696	selected-hw,selected-wide-load	slower
bpftrace_string_search_prefix_scan	native	352	358	358	1.01705	1	1.01705	selected-hw,selected-wide-load	neutral
cgroup_skb_hash_chain	kernel	1039	1039	1036	1	0.997113	0.997113	selected-hw,selected-wide-load	neutral
cgroup_skb_hash_chain	native	421	421	421	1	1	1	selected-hw,selected-wide-load	neutral
cilium_ct_nat_tuple_rewrite	kernel	474	474	473	1	0.99789	0.99789	selected-hw,selected-wide-load	neutral
cilium_ct_nat_tuple_rewrite	native	197	198	197	1.00508	0.994949	1	selected-hw,selected-wide-load	neutral
cilium_policy_guard_tree_filter	kernel	243	243	243	1	1	1	selected-hw,selected-wide-load	neutral
cilium_policy_guard_tree_filter	native	123	123	124	1	1.00813	1.00813	selected-hw,selected-wide-load	neutral
cilium_socket_lb_service_select	kernel	1179	1035	1031	0.877863	0.996135	0.87447	selected-hw,selected-wide-load	neutral
cilium_socket_lb_service_select	native	329	329	329	1	1	1	selected-hw,selected-wide-load	neutral
flow_5tuple_rss_hash	kernel	50	52	48	1.04	0.923077	0.96	not-selected	faster
flow_5tuple_rss_hash	native	19	20	18	1.05263	0.9	0.947368	not-selected	faster
flow_record_field_scan	kernel	186	186	185	1	0.994624	0.994624	not-selected	neutral
flow_record_field_scan	native	108	107	107	0.990741	1	0.990741	not-selected	neutral
katran_lb_consistent_hash_select	kernel	61	61	59	1	0.967213	0.967213	selected-hw,selected-wide-load	faster
katran_lb_consistent_hash_select	native	27	27	28	1	1.03704	1.03704	selected-hw,selected-wide-load	slower
otel_stack_frame_unwind_scan	kernel	381	382	379	1.00262	0.992147	0.994751	selected-hw,selected-wide-load	neutral
otel_stack_frame_unwind_scan	native	116	117	116	1.00862	0.991453	1	selected-hw,selected-wide-load	neutral
packed_header_bitfield_decode	kernel	936	936	933	1	0.996795	0.996795	selected-hw,selected-wide-load	neutral
packed_header_bitfield_decode	native	501	501	501	1	1	1	selected-hw,selected-wide-load	neutral
packet_checksum_fold	kernel	33050	33038	32974	0.999637	0.998063	0.9977	selected-hw,selected-wide-load	neutral
packet_checksum_fold	native	26075	26088	26070	1.0005	0.99931	0.999808	selected-hw,selected-wide-load	neutral
packet_record_bounds_window	kernel	347	342	198	0.985591	0.578947	0.570605	selected-hw,selected-wide-load	faster
packet_record_bounds_window	native	148	148	148	1	1	1	selected-hw,selected-wide-load	neutral
packet_toeplitz_rss_hash	kernel	523	484	480	0.92543	0.991736	0.917782	not-selected	neutral
packet_toeplitz_rss_hash	native	379	380	379	1.00264	0.997368	1	not-selected	neutral
packet_vlan_tcpopt_parser	kernel	45	45	46	1	1.02222	1.02222	not-selected	slower
packet_vlan_tcpopt_parser	native	18	18	19	1	1.05556	1.05556	not-selected	slower
payload_prefix_memcmp_scan	kernel	293	285	285	0.972696	1	0.972696	selected-hw,selected-wide-load	neutral
payload_prefix_memcmp_scan	native	169	169	172	1	1.01775	1.01775	selected-hw,selected-wide-load	neutral
simple	kernel	16	15	14	0.9375	0.933333	0.875	not-selected	faster
simple	native	5	4	4	0.8	1	0.8	not-selected	neutral
simple_packet	kernel	15	14	14	0.933333	1	0.933333	not-selected	neutral
simple_packet	native	5	4	4	0.8	1	0.8	not-selected	neutral
siphash_rotate64_mixer	kernel	188	160	137	0.851064	0.85625	0.728723	selected-wide-load	faster
siphash_rotate64_mixer	native	44	44	49	1	1.11364	1.11364	selected-wide-load	slower
sorted_rule_binary_search	kernel	1940	1946	1942	1.00309	0.997945	1.00103	selected-hw,selected-wide-load	neutral
sorted_rule_binary_search	native	719	720	719	1.00139	0.998611	1	selected-hw,selected-wide-load	neutral
tc_packet_checksum_fold	kernel	33035	33043	32982	1.00024	0.998154	0.998396	selected-hw,selected-wide-load	neutral
tc_packet_checksum_fold	native	26090	26163	26099	1.0028	0.997554	1.00034	selected-hw,selected-wide-load	neutral
tetragon_process_event_arg_filter	kernel	527	524	522	0.994307	0.996183	0.990512	selected-hw,selected-wide-load	neutral
tetragon_process_event_arg_filter	native	275	275	275	1	1	1	selected-hw,selected-wide-load	neutral
trace_event_type_switch_dispatch	kernel	688	681	630	0.989826	0.92511	0.915698	selected-hw,selected-wide-load	faster
