group	benchmark	runtime	samples	passed_samples	failed_samples	median_exec_ns	min_exec_ns	max_exec_ns
baseline	bcc_runqlat_log2_histogram_bucket	kernel	3	3	0	4006	4003	4010
baseline	bcc_tcpconnect_ipv4_tuple_filter	kernel	3	3	0	339	332	352
baseline	bitmap_popcount_scan	kernel	3	3	0	2305	2303	2523
baseline	bpf_local_call_fanout_dispatch	kernel	3	3	0	325	325	325
baseline	bpftrace_comm_key_fnv_hash	kernel	3	3	0	1656	1655	1656
baseline	bpftrace_string_search_prefix_scan	kernel	3	3	0	512	511	517
baseline	cgroup_skb_hash_chain	kernel	3	3	0	1039	1039	1041
baseline	cilium_ct_nat_tuple_rewrite	kernel	3	3	0	481	474	483
baseline	cilium_policy_guard_tree_filter	kernel	3	3	0	246	241	251
baseline	cilium_socket_lb_service_select	kernel	3	3	0	1178	1172	1179
baseline	flow_5tuple_rss_hash	kernel	3	3	0	48	48	48
baseline	flow_record_field_scan	kernel	3	3	0	186	186	191
baseline	katran_lb_consistent_hash_select	kernel	3	3	0	61	61	61
baseline	otel_stack_frame_unwind_scan	kernel	3	3	0	408	387	408
baseline	packed_header_bitfield_decode	kernel	3	3	0	938	937	942
baseline	packet_checksum_fold	kernel	3	3	0	33420	33148	35320
baseline	packet_record_bounds_window	kernel	3	3	0	343	342	347
baseline	packet_toeplitz_rss_hash	kernel	3	3	0	506	472	507
baseline	packet_vlan_tcpopt_parser	kernel	3	3	0	45	45	50
baseline	payload_prefix_memcmp_scan	kernel	3	3	0	293	292	313
baseline	simple	kernel	3	3	0	14	14	16
baseline	simple_packet	kernel	3	3	0	14	14	14
baseline	siphash_rotate64_mixer	kernel	3	3	0	160	159	160
baseline	sorted_rule_binary_search	kernel	3	3	0	1947	1946	1972
baseline	tc_packet_checksum_fold	kernel	3	3	0	33564	33254	33761
baseline	tetragon_process_event_arg_filter	kernel	3	3	0	542	542	551
baseline	trace_event_type_switch_dispatch	kernel	3	3	0	698	696	703
baseline	tracee_http_method_prefix_detect	kernel	3	3	0	61	60	62
baseline	tracee_syscall_name_table_lookup	kernel	3	3	0	327	325	361
baseline	bcc_runqlat_log2_histogram_bucket	native	3	3	0	2221	2219	2234
baseline	bcc_tcpconnect_ipv4_tuple_filter	native	3	3	0	157	154	158
baseline	bitmap_popcount_scan	native	3	3	0	1754	1611	1786
baseline	bpf_local_call_fanout_dispatch	native	3	3	0	114	114	115
baseline	bpftrace_comm_key_fnv_hash	native	3	3	0	1287	1286	1288
baseline	bpftrace_string_search_prefix_scan	native	3	3	0	356	354	360
baseline	cgroup_skb_hash_chain	native	3	3	0	426	424	426
baseline	cilium_ct_nat_tuple_rewrite	native	3	3	0	201	200	206
baseline	cilium_policy_guard_tree_filter	native	3	3	0	123	123	123
baseline	cilium_socket_lb_service_select	native	3	3	0	330	328	333
baseline	flow_5tuple_rss_hash	native	3	3	0	18	17	18
baseline	flow_record_field_scan	native	3	3	0	107	107	110
baseline	katran_lb_consistent_hash_select	native	3	3	0	29	27	29
baseline	otel_stack_frame_unwind_scan	native	3	3	0	124	117	126
baseline	packed_header_bitfield_decode	native	3	3	0	505	504	508
baseline	packet_checksum_fold	native	3	3	0	26222	26109	27008
baseline	packet_record_bounds_window	native	3	3	0	150	147	152
baseline	packet_toeplitz_rss_hash	native	3	3	0	385	383	388
baseline	packet_vlan_tcpopt_parser	native	3	3	0	18	18	18
baseline	payload_prefix_memcmp_scan	native	3	3	0	168	168	169
baseline	simple	native	3	3	0	4	4	5
baseline	simple_packet	native	3	3	0	4	4	4
baseline	siphash_rotate64_mixer	native	3	3	0	44	44	46
baseline	sorted_rule_binary_search	native	3	3	0	724	719	725
