benchmark	runtime	control_median_exec_ns	treatment_median_exec_ns	baseline_median_exec_ns	treatment_over_control	treatment_over_baseline	verdict_2pct
bcc_runqlat_log2_histogram_bucket	kernel	4062	4002	4006	0.9852289512555391	0.99900149775337	neutral
bcc_runqlat_log2_histogram_bucket	native	2308	2215	2221	0.9597053726169844	0.9972985141828006	faster
bcc_tcpconnect_ipv4_tuple_filter	kernel	319	319	339	1.0	0.9410029498525073	neutral
bcc_tcpconnect_ipv4_tuple_filter	native	150	150	157	1.0	0.9554140127388535	neutral
bitmap_popcount_scan	kernel	2291	2305	2305	1.0061108686163247	1.0	neutral
bitmap_popcount_scan	native	1613	1612	1754	0.9993800371977681	0.9190421892816419	neutral
bpf_local_call_fanout_dispatch	kernel	325	331	325	1.0184615384615385	1.0184615384615385	neutral
bpf_local_call_fanout_dispatch	native	114	120	114	1.0526315789473684	1.0526315789473684	slower
bpftrace_comm_key_fnv_hash	kernel	1656	1657	1656	1.0006038647342994	1.0006038647342994	neutral
bpftrace_comm_key_fnv_hash	native	1288	1293	1287	1.0038819875776397	1.0046620046620047	neutral
bpftrace_string_search_prefix_scan	kernel	519	516	512	0.9942196531791907	1.0078125	neutral
bpftrace_string_search_prefix_scan	native	357	355	356	0.9943977591036415	0.9971910112359551	neutral
cgroup_skb_hash_chain	kernel	1040	1044	1039	1.0038461538461538	1.0048123195380174	neutral
cgroup_skb_hash_chain	native	422	423	426	1.0023696682464456	0.9929577464788732	neutral
cilium_ct_nat_tuple_rewrite	kernel	475	474	481	0.9978947368421053	0.9854469854469855	neutral
cilium_ct_nat_tuple_rewrite	native	198	198	201	1.0	0.9850746268656716	neutral
cilium_policy_guard_tree_filter	kernel	243	243	246	1.0	0.9878048780487805	neutral
cilium_policy_guard_tree_filter	native	123	124	123	1.008130081300813	1.008130081300813	neutral
cilium_socket_lb_service_select	kernel	1034	1042	1178	1.0077369439071566	0.8845500848896435	neutral
cilium_socket_lb_service_select	native	329	329	330	1.0	0.996969696969697	neutral
flow_5tuple_rss_hash	kernel	47	48	48	1.0212765957446808	1.0	slower
flow_5tuple_rss_hash	native	18	18	18	1.0	1.0	neutral
flow_record_field_scan	kernel	186	186	186	1.0	1.0	neutral
flow_record_field_scan	native	107	107	107	1.0	1.0	neutral
katran_lb_consistent_hash_select	kernel	61	61	61	1.0	1.0	neutral
katran_lb_consistent_hash_select	native	27	28	29	1.037037037037037	0.9655172413793104	slower
otel_stack_frame_unwind_scan	kernel	382	381	408	0.9973821989528796	0.9338235294117647	neutral
otel_stack_frame_unwind_scan	native	136	116	124	0.8529411764705882	0.9354838709677419	faster
packed_header_bitfield_decode	kernel	938	936	938	0.997867803837953	0.997867803837953	neutral
packed_header_bitfield_decode	native	511	504	505	0.9863013698630136	0.998019801980198	neutral
packet_checksum_fold	kernel	33045	33044	33420	0.9999697382357391	0.9887492519449431	neutral
packet_checksum_fold	native	26070	26131	26222	1.0023398542385884	0.9965296316070476	neutral
packet_record_bounds_window	kernel	342	342	343	1.0	0.9970845481049563	neutral
packet_record_bounds_window	native	148	158	150	1.0675675675675675	1.0533333333333332	slower
packet_toeplitz_rss_hash	kernel	479	479	506	1.0	0.9466403162055336	neutral
packet_toeplitz_rss_hash	native	375	374	385	0.9973333333333333	0.9714285714285714	neutral
packet_vlan_tcpopt_parser	kernel	45	45	45	1.0	1.0	neutral
packet_vlan_tcpopt_parser	native	19	19	18	1.0	1.0555555555555556	neutral
payload_prefix_memcmp_scan	kernel	290	285	293	0.9827586206896551	0.9726962457337884	neutral
payload_prefix_memcmp_scan	native	169	169	168	1.0	1.005952380952381	neutral
simple	kernel	15	16	14	1.0666666666666667	1.1428571428571428	slower
simple	native	4	5	4	1.25	1.25	slower
simple_packet	kernel	14	16	14	1.1428571428571428	1.1428571428571428	slower
simple_packet	native	4	4	4	1.0	1.0	neutral
siphash_rotate64_mixer	kernel	160	163	160	1.01875	1.01875	neutral
siphash_rotate64_mixer	native	44	45	44	1.0227272727272727	1.0227272727272727	slower
sorted_rule_binary_search	kernel	1953	1933	1947	0.9897593445980543	0.9928094504365691	neutral
sorted_rule_binary_search	native	720	719	724	0.9986111111111111	0.9930939226519337	neutral
tc_packet_checksum_fold	kernel	33169	33163	33564	0.999819108203443	0.9880526754856394	neutral
tc_packet_checksum_fold	native	26214	28507	26445	1.0874723430228121	1.0779731518245415	slower
tetragon_process_event_arg_filter	kernel	524	525	542	1.001908396946565	0.9686346863468634	neutral
tetragon_process_event_arg_filter	native	275	275	297	1.0	0.9259259259259259	neutral
trace_event_type_switch_dispatch	kernel	679	681	698	1.0029455081001473	0.9756446991404012	neutral
trace_event_type_switch_dispatch	native	634	632	656	0.9968454258675079	0.9634146341463414	neutral
tracee_http_method_prefix_detect	kernel	64	62	61	0.96875	1.0163934426229508	faster
tracee_http_method_prefix_detect	native	38	38	38	1.0	1.0	neutral
tracee_syscall_name_table_lookup	kernel	356	344	327	0.9662921348314607	1.0519877675840978	faster
tracee_syscall_name_table_lookup	native	259	259	261	1.0	0.9923371647509579	neutral
