case	kfunc	object_count	relocations
arm64-combined	bpf_arm64_csel_ne	1	2
arm64-combined	bpf_arm64_extr_w	4	40
arm64-combined	bpf_arm64_extr_x	4	120
arm64-combined	bpf_arm64_ldr_w	21	43
arm64-combined	bpf_arm64_ldr_x	2	12
arm64-combined	bpf_arm64_ldrh	4	11
arm64-combined	bpf_arm64_rev16_w	1	2
arm64-combined	bpf_arm64_rev_w	1	2
arm64-combined	bpf_arm64_tst	1	2
arm64-combined	bpf_arm64_ubfm_x	12	38
x86-scoped	bpf_x86_bextrq	2	10
x86-scoped	bpf_x86_bswapl	1	2
x86-scoped	bpf_x86_movl	21	43
x86-scoped	bpf_x86_movq	2	12
x86-scoped	bpf_x86_movzwl	4	11
x86-scoped	bpf_x86_rolq	4	120
x86-scoped	bpf_x86_rolw	1	2
x86-scoped	bpf_x86_rorxl	4	40
