benchmark	runtime	sample_index	expected	result	retval	exec_ns	compile_ns	bpf_bytecode_bytes	native_code_bytes	status
simple	native	0	12345678	12345678	2	4	1721749	0	84	pass
simple	kernel	0	12345678	12345678	2	15	4862609	192	160	pass
simple_packet	native	0	12345678	12345678	2	5	1575176	0	64	pass
simple_packet	kernel	0	12345678	12345678	2	16	1188101	168	144	pass
csel_select64	native	0	15327322346016019187	15327322346016019187	2	4	1368937	0	92	pass
csel_select64	kernel	0	15327322346016019187	15327322346016019187	2	17	14436765	416	240	pass
ccmp_all_nonzero	native	0	1	1	2	5	1880810	0	100	pass
ccmp_all_nonzero	kernel	0	1	1	2	17	14687211	376	256	pass
bitmap_popcount_scan	native	0	12830754992348206170	12830754992348206170	2	1673	1848179	0	144	pass
bitmap_popcount_scan	kernel	0	12830754992348206170	12830754992348206170	2	2303	21351321	792	536	pass
sorted_rule_binary_search	native	0	126	126	2	730	1883477	0	296	pass
sorted_rule_binary_search	kernel	0	126	126	2	1972	51955991	1280	792	pass
bcc_runqlat_log2_histogram_bucket	native	0	17790125373615940312	17790125373615940312	2	2222	1730922	0	328	pass
bcc_runqlat_log2_histogram_bucket	kernel	0	17790125373615940312	17790125373615940312	2	4014	133552566	1168	696	pass
trace_event_type_switch_dispatch	native	0	16	16	2	643	1824820	0	1448	pass
trace_event_type_switch_dispatch	kernel	0	16	16	2	621	127966594	1928	1296	pass
packet_checksum_fold	native	0	0	0	2	27095	1885085	0	180	pass
packet_checksum_fold	kernel	0	0	0	2	33522	93709781	560	352	pass
payload_prefix_memcmp_scan	native	0	9377358970524074984	9377358970524074984	2	171	1783311	0	428	pass
payload_prefix_memcmp_scan	kernel	0	9377358970524074984	9377358970524074984	2	285	15784154	1072	680	pass
packet_vlan_tcpopt_parser	native	0	7124500222221	7124500222221	2	22	1745847	0	704	pass
packet_vlan_tcpopt_parser	kernel	0	7124500222221	7124500222221	2	47	14983761	1840	1152	pass
bpf_local_call_fanout_dispatch	native	0	1171593469689687806	1171593469689687806	2	116	2618303	0	284	pass
bpf_local_call_fanout_dispatch	kernel	0	1171593469689687806	1171593469689687806	2	302	19533008	3664	2224	pass
flow_5tuple_rss_hash	native	0	11016707074064960918	11016707074064960918	2	17	1733925	0	508	pass
flow_5tuple_rss_hash	kernel	0	11016707074064960918	11016707074064960918	2	42	14660987	1496	840	pass
katran_lb_consistent_hash_select	native	0	5895923248507644458	5895923248507644458	2	27	1907074	0	1632	pass
katran_lb_consistent_hash_select	kernel	0	5895923248507644458	5895923248507644458	2	55	17776519	5608	3104	pass
cilium_policy_guard_tree_filter	native	0	5333736376993440184	5333736376993440184	2	125	1878717	0	396	pass
cilium_policy_guard_tree_filter	kernel	0	5333736376993440184	5333736376993440184	2	241	21606947	1064	656	pass
siphash_rotate64_mixer	native	0	2666935177028490406	2666935177028490406	2	45	1757474	0	1020	pass
siphash_rotate64_mixer	kernel	0	2666935177028490406	2666935177028490406	2	84	19188104	4248	1768	pass
packet_record_bounds_window	native	0	1610777047308888911	1610777047308888911	2	148	1742696	0	292	pass
packet_record_bounds_window	kernel	0	1610777047308888911	1610777047308888911	2	197	16616372	816	512	pass
flow_record_field_scan	native	0	9354240374969449171	9354240374969449171	2	106	1826198	0	312	pass
flow_record_field_scan	kernel	0	9354240374969449171	9354240374969449171	2	187	15881343	736	488	pass
packed_header_bitfield_decode	native	0	12211926182125163441	12211926182125163441	2	503	1999076	0	680	pass
packed_header_bitfield_decode	kernel	0	12211926182125163441	12211926182125163441	2	902	17364778	2088	1200	pass
bpftrace_string_search_prefix_scan	native	0	15111065535037762995	15111065535037762995	2	430	2004220	0	520	pass
bpftrace_string_search_prefix_scan	kernel	0	15111065535037762995	15111065535037762995	2	536	74882849	1288	848	pass
tracee_syscall_name_table_lookup	native	0	4063733557757466536	4063733557757466536	2	260	1801534	0	920	pass
tracee_syscall_name_table_lookup	kernel	0	4063733557757466536	4063733557757466536	2	326	32291902	1416	1056	pass
tracee_http_method_prefix_detect	native	0	11562433829591280482	11562433829591280482	2	38	1883082	0	708	pass
tracee_http_method_prefix_detect	kernel	0	11562433829591280482	11562433829591280482	2	61	16354923	1304	992	pass
cilium_socket_lb_service_select	native	0	2868565165525030065	2868565165525030065	2	331	1959167	0	348	pass
cilium_socket_lb_service_select	kernel	0	2868565165525030065	2868565165525030065	2	1059	30616823	1800	1048	pass
bcc_tcpconnect_ipv4_tuple_filter	native	0	18109187572642697766	18109187572642697766	2	152	1902168	0	424	pass
bcc_tcpconnect_ipv4_tuple_filter	kernel	0	18109187572642697766	18109187572642697766	2	315	22305507	1528	928	pass
tetragon_process_event_arg_filter	native	0	12641586655603153431	12641586655603153431	2	278	1942224	0	700	pass
tetragon_process_event_arg_filter	kernel	0	12641586655603153431	12641586655603153431	2	525	65705961	1992	1232	pass
otel_stack_frame_unwind_scan	native	0	12043289854646947360	12043289854646947360	2	119	1765088	0	388	pass
otel_stack_frame_unwind_scan	kernel	0	12043289854646947360	12043289854646947360	2	379	19814174	1720	1016	pass
cilium_ct_nat_tuple_rewrite	native	0	14199193300769829204	14199193300769829204	2	212	2068506	0	364	pass
cilium_ct_nat_tuple_rewrite	kernel	0	14199193300769829204	14199193300769829204	2	490	19659667	1552	936	pass
packet_toeplitz_rss_hash	native	0	13526464303109995596	13526464303109995596	2	372	1943431	0	796	pass
packet_toeplitz_rss_hash	kernel	0	13526464303109995596	13526464303109995596	2	523	5677794	1696	1120	pass
bpftrace_comm_key_fnv_hash	native	0	8524536671075880526	8524536671075880526	2	1293	2660722	0	672	pass
bpftrace_comm_key_fnv_hash	kernel	0	8524536671075880526	8524536671075880526	2	1656	20535315	1816	1072	pass
tc_packet_checksum_fold	native	0	0	0	0	26158	1797366	0	228	pass
tc_packet_checksum_fold	kernel	0	0	0	0	32998	91111177	440	304	pass
cgroup_skb_hash_chain	native	0	12027228624407116210	12027228624407116210	1	429	1880998	0	312	pass
cgroup_skb_hash_chain	kernel	0	12027228624407116210	12027228624407116210	1	1040	16814603	800	568	pass
