benchmark	families	control_median_exec_ns	treatment_median_exec_ns	ratio	delta_percent
siphash_rotate64_mixer	EXTR,PRFM	160	107	0.66875	-33.12500000000001
flow_5tuple_rss_hash	EXTR,PRFM,UBFM	50	39	0.78	-21.999999999999996
simple	PRFM	16	13	0.8125	-18.75
simple_packet	PRFM	15	13	0.8666666666666667	-13.33333333333333
tracee_http_method_prefix_detect	PRFM	68	60	0.8823529411764706	-11.764705882352944
bcc_tcpconnect_ipv4_tuple_filter	EXTR,PRFM,UBFM	351	317	0.9031339031339032	-9.686609686609682
packet_toeplitz_rss_hash	PRFM	533	488	0.9155722326454033	-8.442776735459667
bitmap_popcount_scan	PRFM,UBFM	2496	2290	0.9174679487179487	-8.253205128205131
arm64_direct_abi_coverage	EXTR,LDR,PRFM,STR	20	19	0.95	-5.000000000000004
katran_lb_consistent_hash_select	EXTR,PRFM,REV,UBFM	61	58	0.9508196721311475	-4.918032786885251
ldp_stack_pair	EXTR,LDP/STP,PRFM	21	20	0.9523809523809523	-4.761904761904767
cilium_ct_nat_tuple_rewrite	EXTR,PRFM	474	458	0.9662447257383966	-3.3755274261603407
flow_record_field_scan	PRFM,UBFM	190	186	0.9789473684210527	-2.1052631578947323
packed_header_bitfield_decode	PRFM,UBFM	936	918	0.9807692307692307	-1.9230769230769273
bcc_runqlat_log2_histogram_bucket	PRFM,UBFM	4005	3986	0.9952559300873908	-0.4744069912609228
bpftrace_string_search_prefix_scan	EXTR,PRFM	513	511	0.9961013645224172	-0.3898635477582846
cgroup_skb_hash_chain	PRFM,UBFM	1039	1036	0.9971126082771896	-0.2887391722810384
bpf_local_call_fanout_dispatch	PRFM	325	325	1.0	0.0
ccmp_all_nonzero	CCMP/CMP/CSET,PRFM	17	17	1.0	0.0
csel_select64	CCMP/CMP/CSET,CSEL,EXTR,PRFM	28	28	1.0	0.0
packet_vlan_tcpopt_parser	PRFM,UBFM	45	45	1.0	0.0
trace_event_type_switch_dispatch	PRFM	672	675	1.0044642857142858	0.44642857142858094
packet_checksum_fold	PRFM	33032	33232	1.0060547348026156	0.6054734802615647
cilium_policy_guard_tree_filter	PRFM	242	244	1.0082644628099173	0.8264462809917328
packet_record_bounds_window	PRFM	342	345	1.0087719298245614	0.8771929824561431
otel_stack_frame_unwind_scan	PRFM,UBFM	381	385	1.010498687664042	1.049868766404205
cilium_socket_lb_service_select	CCMP/CMP/CSET,PRFM,UBFM	1035	1049	1.0135265700483091	1.352657004830915
tetragon_process_event_arg_filter	PRFM	524	533	1.0171755725190839	1.717557251908386
tracee_syscall_name_table_lookup	PRFM	339	345	1.0176991150442478	1.7699115044247815
bpftrace_comm_key_fnv_hash	PRFM,UBFM	1656	1721	1.0392512077294687	3.9251207729468662
sorted_rule_binary_search	PRFM	1933	2010	1.039834454216244	3.9834454216244097
stp_stack_pair	LDP/STP,PRFM	20	21	1.05	5.000000000000004
payload_prefix_memcmp_scan	EXTR,PRFM	285	333	1.168421052631579	16.842105263157904
