group	instance_id	name	instance_type	state	launch_time	terminate_time	wall_seconds	time_source	compute_usd	ebs_usd	total_usd
baseline	i-0066d1e41cef918d6	bpf-benchmark-arm64-famonlyb	t4g.small	terminated-observed-by-run-log	2026-05-28T02:17:53+00:00	2026-05-28T02:27:25+00:00	572	run-log-birth-to-mtime-upper-bound; aws-describe-missing-for-terminated-instance	0.002669333333333333	0.0005649382716049383	0.0032342716049382713
control-disabled	i-03226888c904594c2	bpf-benchmark-arm64-famonlyc	t4g.small	terminated-observed-by-run-log	2026-05-28T02:27:56+00:00	2026-05-28T02:38:33+00:00	637	run-log-birth-to-mtime-upper-bound; aws-describe-missing-for-terminated-instance	0.0029726666666666664	0.0006291358024691358	0.003601802469135802
treatment-rev-unary	i-0e8507a681d26785c	bpf-benchmark-arm64-famrev	t4g.small	terminated-observed-by-run-log	2026-05-28T02:39:05+00:00	2026-05-28T02:50:11+00:00	666	run-log-birth-to-mtime-upper-bound; aws-describe-missing-for-terminated-instance	0.0031079999999999997	0.0006577777777777777	0.0037657777777777776
treatment-extr-rotate	i-0fe4aedcc15dca427	bpf-benchmark-arm64-famextr	t4g.small	terminated-observed-by-run-log	2026-05-28T02:50:42+00:00	2026-05-28T03:00:40+00:00	598	run-log-birth-to-mtime-upper-bound; aws-describe-missing-for-terminated-instance	0.002790666666666666	0.0005906172839506173	0.0033812839506172834
treatment-ubfm-bextr	i-0e185c5562011a653	bpf-benchmark-arm64-famubfm	t4g.small	terminated-observed-by-run-log	2026-05-28T03:01:11+00:00	2026-05-28T03:11:30+00:00	619	run-log-birth-to-mtime-upper-bound; aws-describe-missing-for-terminated-instance	0.0028886666666666666	0.0006113580246913581	0.0035000246913580247
treatment-ldr-wide-load	i-0e25d99c7b4171027	bpf-benchmark-arm64-famwload	t4g.small	terminated-observed-by-run-log	2026-05-28T03:12:01+00:00	2026-05-28T03:21:51+00:00	590	run-log-birth-to-mtime-upper-bound; aws-describe-missing-for-terminated-instance	0.0027533333333333333	0.0005827160493827161	0.0033360493827160496
treatment-ldr-direct-load	i-0873e6a311aa1b19b	bpf-benchmark-arm64-famdload	t4g.small	terminated-observed-by-run-log	2026-05-28T03:22:07+00:00	2026-05-28T03:31:30+00:00	563	run-log-birth-to-mtime-upper-bound; aws-describe-missing-for-terminated-instance	0.002627333333333333	0.0005560493827160494	0.0031833827160493823
treatment-str-direct-store	i-0d76f2eec3105ec29	bpf-benchmark-arm64-famdstr	t4g.small	terminated	2026-05-28T03:32:49+00:00	2026-05-28T03:41:38+00:00	529	aws-describe-instances	0.0024686666666666663	0.0005224691358024691	0.002991135802469135
treatment-ldp-stp-pair-mem	i-04d764c2704163d5e	bpf-benchmark-arm64-fampair	t4g.small	terminated	2026-05-28T03:42:58+00:00	2026-05-28T03:51:28+00:00	510	aws-describe-instances	0.0023799999999999997	0.0005037037037037038	0.0028837037037037034
treatment-csel-cmov	i-0566d568b24cd2cd5	bpf-benchmark-arm64-famcmov	t4g.small	terminated	2026-05-28T03:52:49+00:00	2026-05-28T04:01:46+00:00	537	aws-describe-instances	0.002506	0.0005303703703703704	0.0030363703703703703
treatment-ccmp	i-0f08035b6fcf6de79	bpf-benchmark-arm64-famccmp	t4g.small	terminated	2026-05-28T04:03:06+00:00	2026-05-28T04:11:41+00:00	515	aws-describe-instances	0.002403333333333333	0.000508641975308642	0.0029119753086419746
treatment-mov	i-0aba809c4d61efcf7	bpf-benchmark-arm64-fammov	t4g.small	terminated	2026-05-28T04:13:17+00:00	2026-05-28T04:22:39+00:00	562	aws-describe-instances	0.002622666666666667	0.0005550617283950617	0.0031777283950617284
treatment-prfm	i-0f80894f68568d69f	bpf-benchmark-arm64-famprfm	t4g.small	terminated	2026-05-28T04:24:02+00:00	2026-05-28T04:33:37+00:00	575	aws-describe-instances	0.002683333333333333	0.0005679012345679012	0.0032512345679012343
