group	compare_to	benchmark	runtime	affected_by_group_symbols	families	control_median_exec_ns	group_median_exec_ns	ratio
baseline	control-disabled	arm64_direct_abi_coverage	kernel	no		20	20	1.0
baseline	control-disabled	bcc_runqlat_log2_histogram_bucket	kernel	no		4001	4028	1.0067483129217696
baseline	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	kernel	no		320	322	1.00625
baseline	control-disabled	bitmap_popcount_scan	kernel	no		2294	2306	1.005231037489102
baseline	control-disabled	bpf_local_call_fanout_dispatch	kernel	no		325	325	1.0
baseline	control-disabled	bpftrace_comm_key_fnv_hash	kernel	no		1656	1656	1.0
baseline	control-disabled	bpftrace_string_search_prefix_scan	kernel	no		512	517	1.009765625
baseline	control-disabled	ccmp_all_nonzero	kernel	no		17	17	1.0
baseline	control-disabled	cgroup_skb_hash_chain	kernel	no		1039	1039	1.0
baseline	control-disabled	cilium_ct_nat_tuple_rewrite	kernel	no		474	474	1.0
baseline	control-disabled	cilium_policy_guard_tree_filter	kernel	no		242	243	1.0041322314049588
baseline	control-disabled	cilium_socket_lb_service_select	kernel	no		1037	1178	1.1359691417550626
baseline	control-disabled	csel_select64	kernel	no		28	28	1.0
baseline	control-disabled	flow_5tuple_rss_hash	kernel	no		48	47	0.9791666666666666
baseline	control-disabled	flow_record_field_scan	kernel	no		186	186	1.0
baseline	control-disabled	katran_lb_consistent_hash_select	kernel	no		61	61	1.0
baseline	control-disabled	ldp_stack_pair	kernel	no		21	20	0.9523809523809523
baseline	control-disabled	otel_stack_frame_unwind_scan	kernel	no		382	382	1.0
baseline	control-disabled	packed_header_bitfield_decode	kernel	no		937	936	0.9989327641408752
baseline	control-disabled	packet_checksum_fold	kernel	no		33088	33043	0.9986399903288201
baseline	control-disabled	packet_record_bounds_window	kernel	no		343	341	0.9941690962099126
baseline	control-disabled	packet_toeplitz_rss_hash	kernel	no		525	492	0.9371428571428572
baseline	control-disabled	packet_vlan_tcpopt_parser	kernel	no		45	45	1.0
baseline	control-disabled	payload_prefix_memcmp_scan	kernel	no		287	289	1.0069686411149825
baseline	control-disabled	simple	kernel	no		15	14	0.9333333333333333
baseline	control-disabled	simple_packet	kernel	no		14	14	1.0
baseline	control-disabled	siphash_rotate64_mixer	kernel	no		160	160	1.0
baseline	control-disabled	sorted_rule_binary_search	kernel	no		1943	1947	1.002058672156459
baseline	control-disabled	stp_stack_pair	kernel	no		21	21	1.0
baseline	control-disabled	tc_packet_checksum_fold	kernel	no		33038	33055	1.0005145589926752
baseline	control-disabled	tetragon_process_event_arg_filter	kernel	no		524	527	1.0057251908396947
baseline	control-disabled	trace_event_type_switch_dispatch	kernel	no		680	688	1.011764705882353
baseline	control-disabled	tracee_http_method_prefix_detect	kernel	no		61	61	1.0
baseline	control-disabled	tracee_syscall_name_table_lookup	kernel	no		344	330	0.9593023255813954
baseline	control-disabled	arm64_direct_abi_coverage	native	no		7	7	1.0
baseline	control-disabled	bcc_runqlat_log2_histogram_bucket	native	no		2215	2214	0.999548532731377
baseline	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	native	no		150	150	1.0
baseline	control-disabled	bitmap_popcount_scan	native	no		1612	1612	1.0
baseline	control-disabled	bpf_local_call_fanout_dispatch	native	no		115	115	1.0
baseline	control-disabled	bpftrace_comm_key_fnv_hash	native	no		1288	1287	0.9992236024844721
baseline	control-disabled	bpftrace_string_search_prefix_scan	native	no		352	357	1.0142045454545454
baseline	control-disabled	ccmp_all_nonzero	native	no		5	5	1.0
baseline	control-disabled	cgroup_skb_hash_chain	native	no		421	421	1.0
baseline	control-disabled	cilium_ct_nat_tuple_rewrite	native	no		197	197	1.0
baseline	control-disabled	cilium_policy_guard_tree_filter	native	no		123	124	1.008130081300813
baseline	control-disabled	cilium_socket_lb_service_select	native	no		329	329	1.0
baseline	control-disabled	csel_select64	native	no		4	4	1.0
baseline	control-disabled	flow_5tuple_rss_hash	native	no		18	18	1.0
baseline	control-disabled	flow_record_field_scan	native	no		108	107	0.9907407407407407
baseline	control-disabled	katran_lb_consistent_hash_select	native	no		27	27	1.0
baseline	control-disabled	ldp_stack_pair	native	no		6	5	0.8333333333333334
baseline	control-disabled	otel_stack_frame_unwind_scan	native	no		117	117	1.0
baseline	control-disabled	packed_header_bitfield_decode	native	no		501	501	1.0
baseline	control-disabled	packet_checksum_fold	native	no		26111	26084	0.9989659530466087
baseline	control-disabled	packet_record_bounds_window	native	no		148	148	1.0
baseline	control-disabled	packet_toeplitz_rss_hash	native	no		372	377	1.0134408602150538
baseline	control-disabled	packet_vlan_tcpopt_parser	native	no		19	18	0.9473684210526315
baseline	control-disabled	payload_prefix_memcmp_scan	native	no		169	169	1.0
baseline	control-disabled	simple	native	no		4	4	1.0
baseline	control-disabled	simple_packet	native	no		4	4	1.0
baseline	control-disabled	siphash_rotate64_mixer	native	no		44	44	1.0
baseline	control-disabled	sorted_rule_binary_search	native	no		720	719	0.9986111111111111
baseline	control-disabled	stp_stack_pair	native	no		5	5	1.0
baseline	control-disabled	tc_packet_checksum_fold	native	no		26095	27805	1.0655297949798812
baseline	control-disabled	tetragon_process_event_arg_filter	native	no		275	275	1.0
baseline	control-disabled	trace_event_type_switch_dispatch	native	no		633	634	1.0015797788309637
baseline	control-disabled	tracee_http_method_prefix_detect	native	no		39	38	0.9743589743589743
baseline	control-disabled	tracee_syscall_name_table_lookup	native	no		259	259	1.0
treatment-rev-unary	control-disabled	arm64_direct_abi_coverage	kernel	no		20	20	1.0
treatment-rev-unary	control-disabled	bcc_runqlat_log2_histogram_bucket	kernel	no		4001	3986	0.9962509372656836
treatment-rev-unary	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	kernel	no		320	327	1.021875
treatment-rev-unary	control-disabled	bitmap_popcount_scan	kernel	no		2294	2304	1.004359197907585
treatment-rev-unary	control-disabled	bpf_local_call_fanout_dispatch	kernel	no		325	334	1.0276923076923077
treatment-rev-unary	control-disabled	bpftrace_comm_key_fnv_hash	kernel	no		1656	1656	1.0
treatment-rev-unary	control-disabled	bpftrace_string_search_prefix_scan	kernel	no		512	517	1.009765625
treatment-rev-unary	control-disabled	ccmp_all_nonzero	kernel	no		17	17	1.0
treatment-rev-unary	control-disabled	cgroup_skb_hash_chain	kernel	no		1039	1039	1.0
treatment-rev-unary	control-disabled	cilium_ct_nat_tuple_rewrite	kernel	no		474	474	1.0
treatment-rev-unary	control-disabled	cilium_policy_guard_tree_filter	kernel	no		242	244	1.0082644628099173
treatment-rev-unary	control-disabled	cilium_socket_lb_service_select	kernel	no		1037	1036	0.9990356798457087
treatment-rev-unary	control-disabled	csel_select64	kernel	no		28	28	1.0
treatment-rev-unary	control-disabled	flow_5tuple_rss_hash	kernel	no		48	48	1.0
treatment-rev-unary	control-disabled	flow_record_field_scan	kernel	no		186	186	1.0
treatment-rev-unary	control-disabled	katran_lb_consistent_hash_select	kernel	yes	REV	61	62	1.0163934426229508
treatment-rev-unary	control-disabled	ldp_stack_pair	kernel	no		21	20	0.9523809523809523
treatment-rev-unary	control-disabled	otel_stack_frame_unwind_scan	kernel	no		382	381	0.9973821989528796
treatment-rev-unary	control-disabled	packed_header_bitfield_decode	kernel	no		937	956	1.0202774813233724
treatment-rev-unary	control-disabled	packet_checksum_fold	kernel	no		33088	33037	0.9984586557059961
treatment-rev-unary	control-disabled	packet_record_bounds_window	kernel	no		343	343	1.0
treatment-rev-unary	control-disabled	packet_toeplitz_rss_hash	kernel	no		525	524	0.9980952380952381
treatment-rev-unary	control-disabled	packet_vlan_tcpopt_parser	kernel	no		45	45	1.0
treatment-rev-unary	control-disabled	payload_prefix_memcmp_scan	kernel	no		287	288	1.0034843205574913
treatment-rev-unary	control-disabled	simple	kernel	no		15	15	1.0
treatment-rev-unary	control-disabled	simple_packet	kernel	no		14	14	1.0
treatment-rev-unary	control-disabled	siphash_rotate64_mixer	kernel	no		160	160	1.0
treatment-rev-unary	control-disabled	sorted_rule_binary_search	kernel	no		1943	1943	1.0
treatment-rev-unary	control-disabled	stp_stack_pair	kernel	no		21	20	0.9523809523809523
treatment-rev-unary	control-disabled	tc_packet_checksum_fold	kernel	no		33038	33038	1.0
treatment-rev-unary	control-disabled	tetragon_process_event_arg_filter	kernel	no		524	526	1.0038167938931297
treatment-rev-unary	control-disabled	trace_event_type_switch_dispatch	kernel	no		680	737	1.0838235294117646
treatment-rev-unary	control-disabled	tracee_http_method_prefix_detect	kernel	no		61	79	1.2950819672131149
treatment-rev-unary	control-disabled	tracee_syscall_name_table_lookup	kernel	no		344	364	1.058139534883721
treatment-rev-unary	control-disabled	arm64_direct_abi_coverage	native	no		7	7	1.0
treatment-rev-unary	control-disabled	bcc_runqlat_log2_histogram_bucket	native	no		2215	2222	1.003160270880361
treatment-rev-unary	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	native	no		150	154	1.0266666666666666
treatment-rev-unary	control-disabled	bitmap_popcount_scan	native	no		1612	1612	1.0
treatment-rev-unary	control-disabled	bpf_local_call_fanout_dispatch	native	no		115	119	1.0347826086956522
treatment-rev-unary	control-disabled	bpftrace_comm_key_fnv_hash	native	no		1288	1287	0.9992236024844721
treatment-rev-unary	control-disabled	bpftrace_string_search_prefix_scan	native	no		352	360	1.0227272727272727
treatment-rev-unary	control-disabled	ccmp_all_nonzero	native	no		5	5	1.0
treatment-rev-unary	control-disabled	cgroup_skb_hash_chain	native	no		421	421	1.0
treatment-rev-unary	control-disabled	cilium_ct_nat_tuple_rewrite	native	no		197	198	1.0050761421319796
treatment-rev-unary	control-disabled	cilium_policy_guard_tree_filter	native	no		123	124	1.008130081300813
treatment-rev-unary	control-disabled	cilium_socket_lb_service_select	native	no		329	330	1.0030395136778116
treatment-rev-unary	control-disabled	csel_select64	native	no		4	4	1.0
treatment-rev-unary	control-disabled	flow_5tuple_rss_hash	native	no		18	19	1.0555555555555556
treatment-rev-unary	control-disabled	flow_record_field_scan	native	no		108	107	0.9907407407407407
treatment-rev-unary	control-disabled	katran_lb_consistent_hash_select	native	yes	REV	27	28	1.037037037037037
treatment-rev-unary	control-disabled	ldp_stack_pair	native	no		6	5	0.8333333333333334
treatment-rev-unary	control-disabled	otel_stack_frame_unwind_scan	native	no		117	117	1.0
treatment-rev-unary	control-disabled	packed_header_bitfield_decode	native	no		501	507	1.0119760479041917
treatment-rev-unary	control-disabled	packet_checksum_fold	native	no		26111	26074	0.9985829726935008
treatment-rev-unary	control-disabled	packet_record_bounds_window	native	no		148	148	1.0
treatment-rev-unary	control-disabled	packet_toeplitz_rss_hash	native	no		372	375	1.0080645161290323
treatment-rev-unary	control-disabled	packet_vlan_tcpopt_parser	native	no		19	18	0.9473684210526315
treatment-rev-unary	control-disabled	payload_prefix_memcmp_scan	native	no		169	169	1.0
treatment-rev-unary	control-disabled	simple	native	no		4	4	1.0
treatment-rev-unary	control-disabled	simple_packet	native	no		4	4	1.0
treatment-rev-unary	control-disabled	siphash_rotate64_mixer	native	no		44	46	1.0454545454545454
treatment-rev-unary	control-disabled	sorted_rule_binary_search	native	no		720	719	0.9986111111111111
treatment-rev-unary	control-disabled	stp_stack_pair	native	no		5	5	1.0
treatment-rev-unary	control-disabled	tc_packet_checksum_fold	native	no		26095	26096	1.0000383215175321
treatment-rev-unary	control-disabled	tetragon_process_event_arg_filter	native	no		275	277	1.0072727272727273
treatment-rev-unary	control-disabled	trace_event_type_switch_dispatch	native	no		633	631	0.9968404423380727
treatment-rev-unary	control-disabled	tracee_http_method_prefix_detect	native	no		39	38	0.9743589743589743
treatment-rev-unary	control-disabled	tracee_syscall_name_table_lookup	native	no		259	260	1.0038610038610039
treatment-extr-rotate	control-disabled	arm64_direct_abi_coverage	kernel	yes	EXTR	20	19	0.95
treatment-extr-rotate	control-disabled	bcc_runqlat_log2_histogram_bucket	kernel	no		4001	4002	1.000249937515621
treatment-extr-rotate	control-disabled	bcc_tcpconnect_ipv4_tuple_filter	kernel	yes	EXTR	320	315	0.984375
treatment-extr-rotate	control-disabled	bitmap_popcount_scan	kernel	no		2294	2288	0.997384481255449
treatment-extr-rotate	control-disabled	bpf_local_call_fanout_dispatch	kernel	no		325	325	1.0
treatment-extr-rotate	control-disabled	bpftrace_comm_key_fnv_hash	kernel	no		1656	1656	1.0
treatment-extr-rotate	control-disabled	bpftrace_string_search_prefix_scan	kernel	yes	EXTR	512	517	1.009765625
treatment-extr-rotate	control-disabled	ccmp_all_nonzero	kernel	no		17	17	1.0
treatment-extr-rotate	control-disabled	cgroup_skb_hash_chain	kernel	no		1039	1043	1.0038498556304138
treatment-extr-rotate	control-disabled	cilium_ct_nat_tuple_rewrite	kernel	yes	EXTR	474	455	0.959915611814346
