rank	benchmark	affected	ratio_treatment_over_control	percent_change
1	siphash_rotate64_mixer	True	0.668750000	-33.125000
2	flow_5tuple_rss_hash	True	0.791666667	-20.833333
3	simple	False	0.875000000	-12.500000
4	simple_packet	False	0.875000000	-12.500000
5	packet_toeplitz_rss_hash	False	0.902485660	-9.751434
6	csel_select64	True	0.903225806	-9.677419
7	ccmp_all_nonzero	True	0.944444444	-5.555556
8	arm64_direct_abi_coverage	True	0.950000000	-5.000000
9	katran_lb_consistent_hash_select	True	0.950819672	-4.918033
10	stp_stack_pair	True	0.954545455	-4.545455
11	cilium_ct_nat_tuple_rewrite	True	0.957894737	-4.210526
12	packed_header_bitfield_decode	True	0.964781217	-3.521878
13	cilium_policy_guard_tree_filter	False	0.979757085	-2.024291
14	bcc_tcpconnect_ipv4_tuple_filter	True	0.984375000	-1.562500
15	bitmap_popcount_scan	True	0.993486756	-0.651324
16	bcc_runqlat_log2_histogram_bucket	True	0.995234512	-0.476549
17	packet_checksum_fold	False	0.999244005	-0.075600
18	sorted_rule_binary_search	False	0.999485597	-0.051440
19	cgroup_skb_hash_chain	True	1.000000000	0.000000
20	flow_record_field_scan	True	1.000000000	0.000000
21	ldp_stack_pair	True	1.000000000	0.000000
22	otel_stack_frame_unwind_scan	True	1.000000000	0.000000
23	packet_record_bounds_window	False	1.000000000	0.000000
24	packet_vlan_tcpopt_parser	True	1.000000000	0.000000
25	tetragon_process_event_arg_filter	False	1.000000000	0.000000
26	tc_packet_checksum_fold	False	1.000090835	0.009083
27	bpftrace_comm_key_fnv_hash	True	1.001207729	0.120773
28	cilium_socket_lb_service_select	True	1.012548263	1.254826
29	payload_prefix_memcmp_scan	True	1.013888889	1.388889
30	bpftrace_string_search_prefix_scan	True	1.021317829	2.131783
31	bpf_local_call_fanout_dispatch	False	1.027692308	2.769231
32	tracee_syscall_name_table_lookup	False	1.049275362	4.927536
33	trace_event_type_switch_dispatch	False	1.057142857	5.714286
34	tracee_http_method_prefix_detect	False	1.177419355	17.741935
