runtime	benchmark	affected	control_median_ns	treatment_median_ns	ratio_treatment_over_control	percent_change
kernel	arm64_direct_abi_coverage	True	20.000000	19.000000	0.950000000	-5.000000
kernel	bcc_runqlat_log2_histogram_bucket	True	3987.000000	3968.000000	0.995234512	-0.476549
kernel	bcc_tcpconnect_ipv4_tuple_filter	True	320.000000	315.000000	0.984375000	-1.562500
kernel	bitmap_popcount_scan	True	2303.000000	2288.000000	0.993486756	-0.651324
kernel	bpf_local_call_fanout_dispatch	False	325.000000	334.000000	1.027692308	2.769231
kernel	bpftrace_comm_key_fnv_hash	True	1656.000000	1658.000000	1.001207729	0.120773
kernel	bpftrace_string_search_prefix_scan	True	516.000000	527.000000	1.021317829	2.131783
kernel	ccmp_all_nonzero	True	18.000000	17.000000	0.944444444	-5.555556
kernel	cgroup_skb_hash_chain	True	1039.000000	1039.000000	1.000000000	0.000000
kernel	cilium_ct_nat_tuple_rewrite	True	475.000000	455.000000	0.957894737	-4.210526
kernel	cilium_policy_guard_tree_filter	False	247.000000	242.000000	0.979757085	-2.024291
kernel	cilium_socket_lb_service_select	True	1036.000000	1049.000000	1.012548263	1.254826
kernel	csel_select64	True	31.000000	28.000000	0.903225806	-9.677419
kernel	flow_5tuple_rss_hash	True	48.000000	38.000000	0.791666667	-20.833333
kernel	flow_record_field_scan	True	186.000000	186.000000	1.000000000	0.000000
kernel	katran_lb_consistent_hash_select	True	61.000000	58.000000	0.950819672	-4.918033
kernel	ldp_stack_pair	True	20.000000	20.000000	1.000000000	0.000000
kernel	otel_stack_frame_unwind_scan	True	382.000000	382.000000	1.000000000	0.000000
kernel	packed_header_bitfield_decode	True	937.000000	904.000000	0.964781217	-3.521878
kernel	packet_checksum_fold	False	33069.000000	33044.000000	0.999244005	-0.075600
kernel	packet_record_bounds_window	False	342.000000	342.000000	1.000000000	0.000000
kernel	packet_toeplitz_rss_hash	False	523.000000	472.000000	0.902485660	-9.751434
kernel	packet_vlan_tcpopt_parser	True	45.000000	45.000000	1.000000000	0.000000
kernel	payload_prefix_memcmp_scan	True	288.000000	292.000000	1.013888889	1.388889
kernel	simple	False	16.000000	14.000000	0.875000000	-12.500000
kernel	simple_packet	False	16.000000	14.000000	0.875000000	-12.500000
kernel	siphash_rotate64_mixer	True	160.000000	107.000000	0.668750000	-33.125000
kernel	sorted_rule_binary_search	False	1944.000000	1943.000000	0.999485597	-0.051440
kernel	stp_stack_pair	True	22.000000	21.000000	0.954545455	-4.545455
kernel	tc_packet_checksum_fold	False	33027.000000	33030.000000	1.000090835	0.009083
kernel	tetragon_process_event_arg_filter	False	525.000000	525.000000	1.000000000	0.000000
kernel	trace_event_type_switch_dispatch	False	700.000000	740.000000	1.057142857	5.714286
kernel	tracee_http_method_prefix_detect	False	62.000000	73.000000	1.177419355	17.741935
kernel	tracee_syscall_name_table_lookup	False	345.000000	362.000000	1.049275362	4.927536
native	arm64_direct_abi_coverage	True	7.000000	7.000000	1.000000000	0.000000
native	bcc_runqlat_log2_histogram_bucket	True	2651.000000	2216.000000	0.835910977	-16.408902
native	bcc_tcpconnect_ipv4_tuple_filter	True	149.000000	149.000000	1.000000000	0.000000
native	bitmap_popcount_scan	True	1612.000000	1612.000000	1.000000000	0.000000
native	bpf_local_call_fanout_dispatch	False	115.000000	114.000000	0.991304348	-0.869565
native	bpftrace_comm_key_fnv_hash	True	1289.000000	1287.000000	0.998448410	-0.155159
native	bpftrace_string_search_prefix_scan	True	353.000000	355.000000	1.005665722	0.566572
native	ccmp_all_nonzero	True	5.000000	5.000000	1.000000000	0.000000
native	cgroup_skb_hash_chain	True	421.000000	421.000000	1.000000000	0.000000
native	cilium_ct_nat_tuple_rewrite	True	197.000000	198.000000	1.005076142	0.507614
native	cilium_policy_guard_tree_filter	False	125.000000	123.000000	0.984000000	-1.600000
native	cilium_socket_lb_service_select	True	330.000000	329.000000	0.996969697	-0.303030
native	csel_select64	True	5.000000	4.000000	0.800000000	-20.000000
native	flow_5tuple_rss_hash	True	18.000000	18.000000	1.000000000	0.000000
native	flow_record_field_scan	True	107.000000	107.000000	1.000000000	0.000000
native	katran_lb_consistent_hash_select	True	27.000000	28.000000	1.037037037	3.703704
native	ldp_stack_pair	True	5.000000	5.000000	1.000000000	0.000000
native	otel_stack_frame_unwind_scan	True	117.000000	117.000000	1.000000000	0.000000
native	packed_header_bitfield_decode	True	502.000000	527.000000	1.049800797	4.980080
native	packet_checksum_fold	False	26121.000000	26085.000000	0.998621799	-0.137820
native	packet_record_bounds_window	False	148.000000	148.000000	1.000000000	0.000000
native	packet_toeplitz_rss_hash	False	376.000000	374.000000	0.994680851	-0.531915
native	packet_vlan_tcpopt_parser	True	18.000000	18.000000	1.000000000	0.000000
native	payload_prefix_memcmp_scan	True	169.000000	169.000000	1.000000000	0.000000
native	simple	False	5.000000	4.000000	0.800000000	-20.000000
native	simple_packet	False	5.000000	5.000000	1.000000000	0.000000
native	siphash_rotate64_mixer	True	44.000000	44.000000	1.000000000	0.000000
native	sorted_rule_binary_search	False	719.000000	720.000000	1.001390821	0.139082
native	stp_stack_pair	True	6.000000	5.000000	0.833333333	-16.666667
native	tc_packet_checksum_fold	False	26090.000000	26096.000000	1.000229973	0.022997
native	tetragon_process_event_arg_filter	False	275.000000	289.000000	1.050909091	5.090909
native	trace_event_type_switch_dispatch	False	638.000000	635.000000	0.995297806	-0.470219
native	tracee_http_method_prefix_detect	False	38.000000	38.000000	1.000000000	0.000000
native	tracee_syscall_name_table_lookup	False	259.000000	259.000000	1.000000000	0.000000
