rep	group	runtime	benchmarks	samples	bad_samples	status
1	baseline	kernel	34	102	0	pass
1	baseline	native	34	102	0	pass
1	control-disabled	kernel	34	102	0	pass
1	control-disabled	native	34	102	0	pass
1	treatment-true-all-on	kernel	34	102	0	pass
1	treatment-true-all-on	native	34	102	0	pass
2	baseline	kernel	34	102	0	pass
2	baseline	native	34	102	0	pass
2	control-disabled	kernel	34	102	0	pass
2	control-disabled	native	34	102	0	pass
2	treatment-true-all-on	kernel	34	102	0	pass
2	treatment-true-all-on	native	34	102	0	pass
3	baseline	kernel	34	102	0	pass
3	baseline	native	34	102	0	pass
3	control-disabled	kernel	34	102	0	pass
3	control-disabled	native	34	102	0	pass
3	treatment-true-all-on	kernel	34	102	0	pass
3	treatment-true-all-on	native	34	102	0	pass
