benchmark	families	relocations	true_all_on_kernel_median_ratio	true_all_on_direction	family_only_kernel_ratios
simple	PRFM	PRFM:2	1.000000000	mixed	treatment-prfm:0.933333333
simple_packet	PRFM	PRFM:2	1.071428571	all_slower	treatment-prfm:1.071428571
csel_select64	CSEL,EXTR,LDR,PRFM	CSEL:4,EXTR:1,LDR:4,PRFM:2	0.607142857	all_faster	treatment-csel-cmov:0.928571429;treatment-extr-rotate:1.000000000;treatment-ldr-wide-load:0.607142857;treatment-ldr-direct-load:0.964285714;treatment-prfm:1.035714286
ccmp_all_nonzero	CCMP/CMP/CSET,PRFM	CCMP/CMP/CSET:5,PRFM:2	1.000000000	all_equal	treatment-ccmp:1.000000000;treatment-csel-cmov:0.882352941;treatment-prfm:1.000000000
stp_stack_pair	LDP/STP,PRFM	LDP/STP:1,PRFM:2	1.000000000	all_equal	treatment-ldp-stp-pair-mem:0.952380952;treatment-prfm:1.000000000
ldp_stack_pair	EXTR,LDP/STP,PRFM	EXTR:1,LDP/STP:1,PRFM:2	1.000000000	all_equal	treatment-extr-rotate:0.952380952;treatment-ldp-stp-pair-mem:1.047619048;treatment-prfm:1.047619048
arm64_direct_abi_coverage	EXTR,LDR,PRFM,STR	EXTR:1,LDR:4,PRFM:2,STR:4	0.950000000	all_faster	treatment-extr-rotate:0.950000000;treatment-ldr-wide-load:1.000000000;treatment-ldr-direct-load:1.000000000;treatment-prfm:1.000000000;treatment-str-direct-store:1.000000000
bitmap_popcount_scan	LDR,PRFM,UBFM	LDR:2,PRFM:3,UBFM:1	1.000867679	mixed	treatment-ldr-wide-load:0.996512642;treatment-ldr-direct-load:0.996948561;treatment-prfm:0.998692241;treatment-ubfm-bextr:1.004359198
sorted_rule_binary_search	LDR,PRFM	LDR:2,PRFM:11	1.030848329	all_slower	treatment-ldr-wide-load:0.998970664;treatment-ldr-direct-load:0.996397324;treatment-prfm:1.034482759
bcc_runqlat_log2_histogram_bucket	LDR,PRFM,UBFM	LDR:2,PRFM:10,UBFM:1	0.994988725	all_faster	treatment-ldr-wide-load:0.993251687;treatment-ldr-direct-load:0.992751812;treatment-prfm:1.007248188;treatment-ubfm-bextr:0.988252937
trace_event_type_switch_dispatch	LDR,PRFM	LDR:2,PRFM:2	0.875358166	all_faster	treatment-ldr-wide-load:0.979411765;treatment-ldr-direct-load:1.039705882;treatment-prfm:1.010294118
packet_checksum_fold	LDR,PRFM	LDR:3,PRFM:2	0.998517577	mixed	treatment-ldr-wide-load:0.996796422;treatment-ldr-direct-load:1.002720019;treatment-prfm:1.003505803
payload_prefix_memcmp_scan	EXTR,LDR,PRFM	EXTR:2,LDR:1,PRFM:5	1.128919861	all_slower	treatment-extr-rotate:1.003484321;treatment-ldr-wide-load:0.993031359;treatment-ldr-direct-load:0.996515679;treatment-prfm:1.121951220
packet_vlan_tcpopt_parser	PRFM,UBFM	PRFM:5,UBFM:1	1.000000000	mixed	treatment-prfm:1.000000000;treatment-ubfm-bextr:1.022222222
bpf_local_call_fanout_dispatch	LDR,PRFM	LDR:3,PRFM:2	0.932307692	all_faster	treatment-ldr-wide-load:0.932307692;treatment-ldr-direct-load:1.000000000;treatment-prfm:1.000000000
flow_5tuple_rss_hash	EXTR,PRFM,UBFM	EXTR:14,PRFM:4,UBFM:2	0.812500000	all_faster	treatment-extr-rotate:0.791666667;treatment-prfm:1.000000000;treatment-ubfm-bextr:1.000000000
katran_lb_consistent_hash_select	EXTR,LDR,PRFM,REV,UBFM	EXTR:24,LDR:7,PRFM:3,REV:4,UBFM:11	0.918032787	all_faster	treatment-extr-rotate:0.950819672;treatment-ldr-wide-load:0.983606557;treatment-ldr-direct-load:1.000000000;treatment-prfm:1.000000000;treatment-rev-unary:1.016393443;treatment-ubfm-bextr:1.000000000
cilium_policy_guard_tree_filter	LDR,PRFM	LDR:1,PRFM:3	0.991836735	mixed	treatment-ldr-wide-load:1.012396694;treatment-ldr-direct-load:1.004132231;treatment-prfm:1.012396694
siphash_rotate64_mixer	EXTR,LDR,PRFM	EXTR:116,LDR:8,PRFM:2	0.528301887	all_faster	treatment-extr-rotate:0.668750000;treatment-ldr-wide-load:0.868750000;treatment-ldr-direct-load:1.000000000;treatment-prfm:1.000000000
