helper	count
probe_read	28481
probe_read_kernel	25299
map_lookup_elem	11571
trace_printk	4745
probe_read_str	4180
map_update_elem	2745
probe_read_kernel_str	1727
get_current_pid_tgid	1285
ktime_get_ns	932
get_current_task	749
skb_pull_data	703
skb_load_bytes	590
get_current_comm	583
map_delete_elem	537
tail_call	537
skb_store_bytes	536
perf_event_output	514
get_current_uid_gid	510
l4_csum_replace	453
l3_csum_replace	320
get_smp_processor_id	315
get_stackid	300
csum_diff	260
redirect	223
jiffies64	221
get_current_task_btf	210
ktime_get_boot_ns	177
probe_read_user	126
get_current_cgroup_id	124
task_pt_regs	124
kptr_xchg	116
spin_unlock	106
get_prandom_u32	87
probe_read_user_str	78
spin_lock	74
fib_lookup	73
skb_adjust_room	72
snprintf_btf	59
get_attach_cookie	57
task_storage_get	51
loop	49
cgrp_storage_get	44
trace_vprintk	43
seq_printf	43
skb_change_tail	39
get_hash_recalc	38
current_task_under_cgroup	37
set_hash_invalid	36
get_stack	32
sk_release	32
strncmp	32
map_lookup_percpu_elem	32
skb_set_tunnel_key	31
setsockopt	31
sk_storage_get	30
sk_assign	28
ringbuf_reserve	27
ringbuf_submit	27
get_socket_cookie	26
redirect_map	26
per_cpu_ptr	24
copy_from_user	23
redirect_neigh	22
getsockopt	22
this_cpu_ptr	22
map_push_elem	21
map_pop_elem	21
for_each_map_elem	19
xdp_adjust_head	17
timer_start	15
skc_lookup_tcp	13
get_netns_cookie	12
clone_redirect	11
seq_write	11
xdp_adjust_meta	9
xdp_adjust_tail	9
task_storage_delete	9
timer_set_callback	9
sk_storage_delete	9
sk_lookup_udp	8
skc_to_tcp_sock	8
skb_vlan_pop	8
send_signal	7
timer_init	7
xdp_load_bytes	7
find_vma	6
sk_fullsock	6
get_local_storage	6
skb_load_bytes_relative	6
skb_change_proto	5
d_path	5
skb_ancestor_cgroup_id	5
probe_write_user	5
skb_change_type	4
skb_get_tunnel_key	4
get_task_stack	4
cgrp_storage_delete	4
inode_storage_get	4
get_func_arg	4
check_mtu	4
tcp_raw_gen_syncookie_ipv4	4
tcp_raw_check_syncookie_ipv4	4
tcp_raw_check_syncookie_ipv6	4
tcp_raw_gen_syncookie_ipv6	4
skb_vlan_push	4
get_func_ip	3
ima_inode_hash	3
ima_file_hash	3
send_signal_thread	3
sock_ops_cb_flags_set	3
ringbuf_output	3
strtol	3
csum_update	3
override_return	3
get_ns_current_pid_tgid	2
redirect_peer	2
copy_from_user_task	2
sock_map_update	2
xdp_store_bytes	2
tcp_send_ack	1
sock_from_file	1
seq_printf_btf	1
sk_lookup_tcp	1
skb_cgroup_id	1
sk_cgroup_id	1
sk_ancestor_cgroup_id	1
get_branch_snapshot	1
inode_storage_delete	1
skc_to_mptcp_sock	1
sk_redirect_map	1
skc_to_tcp6_sock	1
strtoul	1
tcp_check_syncookie	1
tcp_gen_syncookie	1
skc_to_tcp_request_sock	1
dynptr_from_mem	1
map_peek_elem	1
sk_select_reuseport	1
skc_to_unix_sock	1
timer_cancel	1
get_func_arg_cnt	1
ktime_get_tai_ns	1
sysctl_get_name	1
sysctl_get_current_value	1
sysctl_get_new_value	1
ktime_get_coarse_ns	1
