dataset,root,benchmark,runtime,exec_ns,ratio_to_kernel
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,simple,native,15,0.15
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,simple,kernel,100,1.0
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,simple,llvmbpf,56,0.56
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,simple_packet,native,11,0.44
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,simple_packet,kernel,25,1.0
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,simple_packet,llvmbpf,79,3.16
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,bitmap_popcount_scan,native,478,0.24934793948878456
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,bitmap_popcount_scan,kernel,1917,1.0
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,bitmap_popcount_scan,llvmbpf,540,0.28169014084507044
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,sorted_rule_binary_search,native,423,0.5171149144254279
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,sorted_rule_binary_search,kernel,818,1.0
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,sorted_rule_binary_search,llvmbpf,882,1.078239608801956
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,bcc_runqlat_log2_histogram_bucket,native,1466,0.5817460317460318
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,bcc_runqlat_log2_histogram_bucket,kernel,2520,1.0
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,bcc_runqlat_log2_histogram_bucket,llvmbpf,1157,0.4591269841269841
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,trace_event_type_switch_dispatch,native,920,0.9563409563409564
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,trace_event_type_switch_dispatch,kernel,962,1.0
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,trace_event_type_switch_dispatch,llvmbpf,610,0.6340956340956341
micro_pure_jit_smoke,micro/results/x86_kvm_micro_20260526_031613_695005,packet_checksum_fold,native,16038,0.8530397319291527
