bench	pass	dump_rc	bpfopt_rc	prog_type	insns_before	insns_after	sites_applied	changed	opt_sha256
simple	bulk_memory	0	0	xdp	24	24	0	false	2a48b3888647c7244b4c4296f0256d13359b32f2b6e419a2c32aab55209efc61
simple	rotate	0	0	xdp	24	24	0	false	2a48b3888647c7244b4c4296f0256d13359b32f2b6e419a2c32aab55209efc61
simple	cond_select	0	0	xdp	24	24	0	false	2a48b3888647c7244b4c4296f0256d13359b32f2b6e419a2c32aab55209efc61
simple	extract	0	0	xdp	24	24	0	false	2a48b3888647c7244b4c4296f0256d13359b32f2b6e419a2c32aab55209efc61
simple	endian_fusion	0	0	xdp	24	24	0	false	2a48b3888647c7244b4c4296f0256d13359b32f2b6e419a2c32aab55209efc61
simple_packet	bulk_memory	0	0	xdp	21	21	0	false	0ea9c661db283d0e6567ea75a73b58ba6e5ecb42eda31b1336efcf7965d58eb1
simple_packet	rotate	0	0	xdp	21	21	0	false	0ea9c661db283d0e6567ea75a73b58ba6e5ecb42eda31b1336efcf7965d58eb1
simple_packet	cond_select	0	0	xdp	21	21	0	false	0ea9c661db283d0e6567ea75a73b58ba6e5ecb42eda31b1336efcf7965d58eb1
simple_packet	extract	0	0	xdp	21	21	0	false	0ea9c661db283d0e6567ea75a73b58ba6e5ecb42eda31b1336efcf7965d58eb1
simple_packet	endian_fusion	0	0	xdp	21	21	0	false	0ea9c661db283d0e6567ea75a73b58ba6e5ecb42eda31b1336efcf7965d58eb1
memory_pair_sum	bulk_memory	0	0	xdp	78	78	0	false	50b089f80ea6452deee78490e53750642552ca73648cfda6dabf362414055024
memory_pair_sum	rotate	0	0	xdp	78	78	0	false	50b089f80ea6452deee78490e53750642552ca73648cfda6dabf362414055024
memory_pair_sum	cond_select	0	0	xdp	78	78	0	false	50b089f80ea6452deee78490e53750642552ca73648cfda6dabf362414055024
memory_pair_sum	extract	0	0	xdp	78	78	0	false	50b089f80ea6452deee78490e53750642552ca73648cfda6dabf362414055024
memory_pair_sum	endian_fusion	0	0	xdp	78	78	0	false	50b089f80ea6452deee78490e53750642552ca73648cfda6dabf362414055024
bitcount	bulk_memory	0	0	xdp	130	130	0	false	8faab4134649b7d8a02301b7814e18a7216c9973cc7e8b67b094563ffa87c6ea
bitcount	rotate	0	0	xdp	130	130	0	false	8faab4134649b7d8a02301b7814e18a7216c9973cc7e8b67b094563ffa87c6ea
bitcount	cond_select	0	0	xdp	130	130	0	false	8faab4134649b7d8a02301b7814e18a7216c9973cc7e8b67b094563ffa87c6ea
bitcount	extract	0	0	xdp	130	130	0	false	8faab4134649b7d8a02301b7814e18a7216c9973cc7e8b67b094563ffa87c6ea
bitcount	endian_fusion	0	0	xdp	130	130	0	false	8faab4134649b7d8a02301b7814e18a7216c9973cc7e8b67b094563ffa87c6ea
log2_fold	bulk_memory	0	0	xdp	127	127	0	false	b44afdb8f16a805d9942e6b3c438f75eb52fb91f84303082a1bf2969054ef64b
log2_fold	rotate	0	0	xdp	127	127	0	false	b44afdb8f16a805d9942e6b3c438f75eb52fb91f84303082a1bf2969054ef64b
log2_fold	cond_select	0	0	xdp	127	127	0	false	b44afdb8f16a805d9942e6b3c438f75eb52fb91f84303082a1bf2969054ef64b
log2_fold	extract	0	0	xdp	127	127	0	false	b44afdb8f16a805d9942e6b3c438f75eb52fb91f84303082a1bf2969054ef64b
