[vm] kernel: 7.0.0-rc2+
program                         native_lab_ns  kernel_jit_ns         ratio
---------------------------------------------------------------------------
helper_only_ktime                         28            28         1.000
helper_get_pid_tgid                        5             6         0.833
helper_chain_simple                       33            31         1.065
map_array_lookup                          15            17         0.882
map_array_index_packet                    15            17         0.882
map_hash_lookup                           81            81         1.000
map_hash_str_key                          85            86         0.988
map_percpu_array                          19            18         1.056
map_lru_hash_counter                      86            85         1.012
map_percpu_hash_counter                   27            28         0.964
combined_helper_map                       40            42         0.952
multi_map_policy                          56            55         1.018
packet_5tuple_classify                    47            49         0.959
stats_mixed_helpers                       95            83         1.145
